"",BBFB1.Q.N.DE.A5.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:48,
1991-01,370.287,
1991-04,-350.709,
1991-07,184.343,
1991-10,343.219,
1992-01,1683.601,
1992-04,-581.668,
1992-07,117.020,
1992-10,1626.099,
1993-01,-1060.552,
1993-04,318.852,
1993-07,566.144,
1993-10,2141.011,
1994-01,-1437.083,
1994-04,1787.575,
1994-07,-655.577,
1994-10,1013.050,
1995-01,-889.970,
1995-04,1236.928,
1995-07,899.444,
1995-10,-365.480,
1996-01,-367.818,
1996-04,-429.026,
1996-07,679.394,
1996-10,1709.564,
1997-01,1941.604,
1997-04,1648.946,
1997-07,2099.161,
1997-10,988.755,
1998-01,1745.131,
1998-04,2914.030,
1998-07,2401.544,
1998-10,4811.946,
1999-01,-2550.287,
1999-04,412.012,
1999-07,1123.917,
1999-10,3396.178,
2000-01,2250.203,
2000-04,6278.332,
2000-07,1289.090,
2000-10,7175.998,
2001-01,6166.463,
2001-04,1897.552,
2001-07,2456.987,
2001-10,-4856.402,
2002-01,-690.209,
2002-04,9872.244,
2002-07,7887.591,
2002-10,-7241.812,
2003-01,4488.016,
2003-04,89.389,
2003-07,-8391.872,
2003-10,-1003.382,
2004-01,-569.855,
2004-04,-3528.688,
2004-07,2125.700,
2004-10,2973.116,
2005-01,1668.070,
2005-04,17133.322,
2005-07,2256.224,
2005-10,12016.221,
2006-01,-9178.559,
2006-04,8462.330,
2006-07,6772.923,
2006-10,2411.671,
2007-01,7122.417,
2007-04,212.998,
2007-07,25864.962,
2007-10,13463.264,
2008-01,-18707.936,
2008-04,-1045.036,
2008-07,6074.601,
2008-10,-8769.408,
2009-01,-6104.014,
2009-04,9675.279,
2009-07,-5578.267,
2009-10,7080.476,
2010-01,-14726.179,
2010-04,-10495.491,
2010-07,-2364.912,
2010-10,8651.904,
2011-01,-5515.017,
2011-04,506.651,
2011-07,10588.387,
2011-10,-2621.698,
2012-01,2316.409,
2012-04,-3793.439,
2012-07,10745.009,
2012-10,25313.542,
2013-01,-4169.365,
2013-04,-1136.207,
2013-07,-4608.015,
2013-10,2845.672,
2014-01,7296.669,Provisional value
2014-04,23473.672,Provisional value
2014-07,11414.578,Provisional value
2014-10,56779.252,Provisional value
