"",BBK01.OEHI03K,BBK01.OEHI03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:39,
2002-01,7.878,
2002-04,7.976,
2002-07,7.187,
2002-10,7.916,
2003-01,7.013,
2003-04,7.532,
2003-07,7.577,
2003-10,7.724,
2004-01,7.610,
2004-04,7.826,
2004-07,7.559,
2004-10,9.051,
2005-01,8.881,
2005-04,8.176,
2005-07,8.412,
2005-10,8.246,
2006-01,8.709,
2006-04,9.145,
2006-07,9.456,
2006-10,9.561,
2007-01,9.179,
2007-04,8.774,
2007-07,8.725,
2007-10,8.746,
2008-01,8.922,
2008-04,9.946,
2008-07,10.506,
2008-10,10.582,
2009-01,9.175,
2009-04,9.015,
2009-07,8.838,
2009-10,9.102,
2010-01,8.953,
2010-04,9.114,
2010-07,8.726,
2010-10,8.643,
2011-01,8.426,
2011-04,9.003,
2011-07,9.088,
2011-10,8.418,
2012-01,7.499,
2012-04,7.292,
2012-07,6.771,
2012-10,6.361,
2013-01,6.715,
2013-04,6.570,
2013-07,6.407,
2013-10,6.365,
2014-01,6.413,
2014-04,6.353,
2014-07,4.616,
