"",BBK01.OEHB07G,BBK01.OEHB07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:04,
2002-01,5.288,
2002-04,5.246,
2002-07,5.258,
2002-10,5.311,
2003-01,5.001,
2003-04,4.851,
2003-07,4.883,
2003-10,4.888,
2004-01,4.753,
2004-04,4.779,
2004-07,4.702,
2004-10,4.739,
2005-01,4.738,
2005-04,5.011,
2005-07,5.046,
2005-10,5.157,
2006-01,5.142,
2006-04,5.162,
2006-07,5.173,
2006-10,5.242,
2007-01,5.201,
2007-04,5.271,
2007-07,5.327,
2007-10,5.448,
2008-01,5.614,
2008-04,5.712,
2008-07,5.839,
2008-10,5.774,
2009-01,5.579,
2009-04,5.902,
2009-07,6.237,
2009-10,6.449,
2010-01,6.297,
2010-04,6.373,
2010-07,6.562,
2010-10,6.756,
2011-01,6.527,
2011-04,6.500,
2011-07,6.497,
2011-10,6.491,
2012-01,6.494,
2012-04,6.559,
2012-07,6.634,
2012-10,6.654,
2013-01,6.626,
2013-04,6.661,
2013-07,6.733,
2013-10,6.609,
2014-01,6.453,
2014-04,6.362,
2014-07,6.245,
