"",BBK01.OEYJ04K,BBK01.OEYJ04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:50,
2002-01,0.780,
2002-04,0.851,
2002-07,1.031,
2002-10,1.446,
2003-01,1.222,
2003-04,1.386,
2003-07,0.967,
2003-10,1.572,
2004-01,1.350,
2004-04,1.302,
2004-07,2.032,
2004-10,0.087,
2005-01,0.061,
2005-04,0.047,
2005-07,0.036,
2005-10,0.027,
2006-01,0.032,
2006-04,0.027,
2006-07,0.017,
2006-10,0.017,
2007-01,0.017,
2007-04,0.017,
2007-07,0.737,
2007-10,0.079,
2008-01,0.096,
2008-04,0.288,
2008-07,0.320,
2008-10,0.305,
2009-01,0.293,
2009-04,0.143,
2009-07,0.120,
2009-10,0.110,
2010-01,0.091,
2010-04,0.308,
2010-07,0.388,
2010-10,0.527,
2011-01,0.274,
2011-04,0.259,
2011-07,0.220,
2011-10,0.157,
2012-01,0.154,
2012-04,0.151,
2012-07,0.160,
2012-10,0.188,
2013-01,0.260,
2013-04,0.218,
2013-07,0.226,
2013-10,0.212,
2014-01,0.242,
2014-04,0.146,
2014-07,0.126,
