"",BBEX3.M.NOK.EUR.CA.AB.A01,BBEX3.M.NOK.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Norway / EUR 1 = NOK ... (selling),
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:45,
1999-01,8.5708,
1999-02,8.7179,
1999-03,8.3655,
1999-04,8.2611,
1999-05,8.2492,
1999-06,8.1199,
1999-07,8.3589,
1999-08,8.3228,
1999-09,8.2547,
1999-10,8.2709,
1999-11,8.1477,
1999-12,8.0912,
2000-01,8.0943,
2000-02,8.0752,
2000-03,8.0926,
2000-04,8.1676,
2000-05,8.3271,
2000-06,8.1972,
2000-07,8.1967,
2000-08,8.0887,
2000-09,8.0260,
2000-10,7.9164,
2000-11,8.0664,
2000-12,8.2935,
2001-01,8.2003,
2001-02,8.2555,
2001-03,8.0441,
2001-04,8.1091,
2001-05,7.9224,
2001-06,7.8950,
2001-07,7.9972,
2001-08,8.0783,
2001-09,8.1089,
2001-10,8.0074,
2001-11,7.9776,
2001-12,7.9873,
2002-01,7.8386,
2002-02,7.7207,
2002-03,7.7248,
2002-04,7.6009,
2002-05,7.4867,
2002-06,7.4159,
2002-07,7.4526,
2002-08,7.3967,
2002-09,7.3575,
2002-10,7.3886,
2002-11,7.2998,
2002-12,7.2975,
2003-01,7.4575,
2003-02,7.7771,
2003-03,7.9074,
2003-04,7.8429,
2003-05,7.9033,
2003-06,8.2692,
2003-07,8.1836,
2003-08,8.2967,
2003-09,8.1712,
2003-10,8.2137,
2003-11,8.1791,
2003-12,8.4369,
2004-01,8.7994,
2004-02,8.7659,
2004-03,8.4257,
2004-04,8.2080,
2004-05,8.2477,
2004-06,8.4008,
2004-07,8.4527,
2004-08,8.4002,
2004-09,8.3838,
2004-10,8.1694,
2004-11,8.1335,
2004-12,8.2576,
2005-01,8.2762,
2005-02,8.2679,
2005-03,8.2084,
2005-04,8.1596,
2005-05,7.9995,
2005-06,7.9246,
2005-07,7.9157,
2005-08,7.9138,
2005-09,7.8629,
2005-10,7.8195,
2005-11,7.9792,
2005-12,8.0351,
2006-01,8.1458,
2006-02,8.0477,
2006-03,7.9759,
2006-04,7.7794,
2006-05,7.8317,
2006-06,7.9284,
2006-07,7.8987,
2006-08,8.1000,
2006-09,8.2342,
2006-10,8.3492,
2006-11,8.2120,
2006-12,8.2733,
2007-01,8.1638,
2007-02,8.1285,
2007-03,8.1317,
2007-04,8.1490,
2007-05,8.1595,
2007-06,7.9570,
2007-07,8.0013,
2007-08,7.9578,
2007-09,7.7247,
2007-10,7.7391,
2007-11,8.1343,
2007-12,7.9775,
2008-01,8.0786,
2008-02,7.8990,
2008-03,8.0690,
2008-04,8.0273,
2008-05,7.9039,
2008-06,8.0033,
2008-07,8.0375,
2008-08,7.9339,
2008-09,8.3481,
2008-10,8.5614,
2008-11,8.9065,
2008-12,9.8816,
2009-01,8.9351,
2009-02,8.8693,
2009-03,8.9602,
2009-04,8.7483,
2009-05,8.9733,
2009-06,9.0291,
2009-07,8.7564,
2009-08,8.6384,
2009-09,8.5218,
2009-10,8.4017,
2009-11,8.4984,
2009-12,8.3136,
2010-01,8.2231,
2010-02,8.0705,
2010-03,8.0425,
2010-04,7.8459,
2010-05,7.9524,
2010-06,7.9284,
2010-07,7.9628,
2010-08,8.0268,
2010-09,7.9804,
2010-10,8.2643,
2010-11,8.0929,
2010-12,7.8292,
2011-01,7.9289,
2011-02,7.7673,
2011-03,7.8968,
2011-04,7.8004,
2011-05,7.7626,
2011-06,7.7966,
2011-07,7.7515,
2011-08,7.7508,
2011-09,7.9049,
2011-10,7.6899,
2011-11,7.8138,
2011-12,7.7868,
2012-01,7.6724,
2012-02,7.4935,
2012-03,7.6409,
2012-04,7.5972,
2012-05,7.5464,
2012-06,7.5607,
2012-07,7.4326,
2012-08,7.2918,
2012-09,7.3933,
2012-10,7.4527,
2012-11,7.3922,
2012-12,7.3936,
2013-01,7.4492,
2013-02,7.5067,
2013-03,7.4987,
2013-04,7.6405,
2013-05,7.6363,
2013-06,7.8851,
2013-07,7.9034,
2013-08,8.0847,
2013-09,8.1123,
2013-10,8.1120,
2013-11,8.3108,
2013-12,8.4037,
2014-01,8.4902,
2014-02,8.3009,
2014-03,8.2864,
2014-04,8.3076,
2014-05,8.1384,
2014-06,8.3799,
2014-07,8.4091,
2014-08,8.1711,
2014-09,8.1931,
2014-10,8.4441,
2014-11,8.6941,
2014-12,9.0557,
2015-01,8.8864,
2015-02,8.5948,
"","Source: Since December 2003 DNB, Oslo (formerly: DnB NOR) 1999 - November 2003 Den norske Bank, Oslo",
