"",BBK01.OEBB13Q,BBK01.OEBB13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:19,
2002-01,2.814,
2002-04,2.800,
2002-07,2.768,
2002-10,2.760,
2003-01,2.738,
2003-04,2.714,
2003-07,2.660,
2003-10,2.635,
2004-01,2.599,
2004-04,2.542,
2004-07,2.481,
2004-10,2.419,
2005-01,2.412,
2005-04,2.345,
2005-07,2.313,
2005-10,2.264,
2006-01,2.259,
2006-04,2.216,
2006-07,2.165,
2006-10,2.150,
2007-01,2.108,
2007-04,2.094,
2007-07,2.054,
2007-10,2.007,
2008-01,1.953,
2008-04,1.938,
2008-07,1.868,
2008-10,1.801,
2009-01,1.763,
2009-04,2.036,
2009-07,2.012,
2009-10,1.964,
2010-01,1.942,
2010-04,1.909,
2010-07,2.068,
2010-10,2.065,
2011-01,1.905,
2011-04,1.906,
2011-07,1.870,
2011-10,1.848,
2012-01,1.858,
2012-04,1.866,
2012-07,1.845,
2012-10,1.859,
2013-01,1.889,
2013-04,1.842,
2013-07,1.850,
2013-10,1.827,
2014-01,1.839,
2014-04,1.819,
2014-07,1.838,
