"",BBK01.OEAA19H,BBK01.OEAA19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:50,
2002-01,41.317,
2002-04,41.015,
2002-07,42.326,
2002-10,39.219,
2003-01,37.184,
2003-04,35.072,
2003-07,34.257,
2003-10,31.900,
2004-01,35.002,
2004-04,33.358,
2004-07,32.792,
2004-10,31.537,
2005-01,29.869,
2005-04,31.633,
2005-07,32.740,
2005-10,25.893,
2006-01,37.595,
2006-04,31.978,
2006-07,38.858,
2006-10,30.118,
2007-01,36.695,
2007-04,32.228,
2007-07,39.890,
2007-10,33.491,
2008-01,45.360,
2008-04,53.031,
2008-07,52.887,
2008-10,31.519,
2009-01,40.069,
2009-04,39.450,
2009-07,37.882,
2009-10,27.840,
2010-01,30.685,
2010-04,29.381,
2010-07,31.674,
2010-10,27.042,
2011-01,26.010,
2011-04,27.552,
2011-07,24.626,
2011-10,23.270,
2012-01,30.887,
2012-04,27.456,
2012-07,32.567,
2012-10,27.040,
2013-01,32.859,
2013-04,34.481,
2013-07,22.542,
2013-10,22.649,
2014-01,22.656,
2014-04,22.716,
2014-07,23.447,
