"",BBK01.OEAB10M,BBK01.OEAB10M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:18,
2002-01,17.234,
2002-04,17.644,
2002-07,16.895,
2002-10,15.964,
2003-01,16.560,
2003-04,16.275,
2003-07,15.575,
2003-10,14.524,
2004-01,14.719,
2004-04,15.198,
2004-07,14.972,
2004-10,14.338,
2005-01,15.506,
2005-04,15.581,
2005-07,13.632,
2005-10,12.778,
2006-01,13.552,
2006-04,13.859,
2006-07,13.767,
2006-10,14.283,
2007-01,13.862,
2007-04,14.794,
2007-07,15.165,
2007-10,15.594,
2008-01,16.338,
2008-04,15.970,
2008-07,15.672,
2008-10,16.421,
2009-01,17.676,
2009-04,16.973,
2009-07,15.302,
2009-10,14.073,
2010-01,14.817,
2010-04,12.855,
2010-07,12.873,
2010-10,13.659,
2011-01,13.810,
2011-04,15.276,
2011-07,14.047,
2011-10,14.259,
2012-01,13.508,
2012-04,13.334,
2012-07,13.835,
2012-10,12.937,
2013-01,13.656,
2013-04,13.336,
2013-07,13.193,
2013-10,12.769,
2014-01,12.565,
2014-04,12.890,
2014-07,14.240,
