"",BBK01.OEYB12H,BBK01.OEYB12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:33,
2002-01,46.991,
2002-04,46.582,
2002-07,46.571,
2002-10,46.381,
2003-01,45.908,
2003-04,45.788,
2003-07,45.221,
2003-10,47.927,
2004-01,46.286,
2004-04,45.788,
2004-07,45.117,
2004-10,43.251,
2005-01,42.873,
2005-04,42.422,
2005-07,42.602,
2005-10,42.813,
2006-01,43.789,
2006-04,43.308,
2006-07,42.782,
2006-10,42.052,
2007-01,42.948,
2007-04,42.514,
2007-07,42.366,
2007-10,41.285,
2008-01,41.868,
2008-04,41.606,
2008-07,41.663,
2008-10,40.349,
2009-01,39.943,
2009-04,38.669,
2009-07,39.725,
2009-10,38.781,
2010-01,37.645,
2010-04,37.534,
2010-07,37.113,
2010-10,36.208,
2011-01,36.291,
2011-04,36.705,
2011-07,36.374,
2011-10,37.254,
2012-01,37.279,
2012-04,36.920,
2012-07,36.112,
2012-10,35.623,
2013-01,35.336,
2013-04,34.722,
2013-07,31.959,
2013-10,31.348,
2014-01,30.599,
2014-04,29.797,
2014-07,29.739,
