"",BBSF2.M.1.S.I1251.GEM01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.GEM01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:43,
2009-09,64,
2009-10,5592,
2009-11,-144,
2009-12,-820,
2010-01,38,
2010-02,658,
2010-03,878,
2010-04,38,
2010-05,192,
2010-06,186,
2010-07,1138,
2010-08,185,
2010-09,73,
2010-10,493,
2010-11,-74,
2010-12,1009,
2011-01,1264,
2011-02,156,
2011-03,660,
2011-04,98,
2011-05,115,
2011-06,220,
2011-07,41,
2011-08,12,
2011-09,261,
2011-10,-,Nothing exists
2011-11,2144,
2011-12,419,
2012-01,-4058,
2012-02,5934,
2012-03,890,
2012-04,26,
2012-05,114,
2012-06,347,
2012-07,-112,
2012-08,141,
2012-09,468,
2012-10,515,
2012-11,279,
2012-12,658,
2013-01,88,
2013-02,369,
2013-03,843,
2013-04,123,
2013-05,-88,
2013-06,189,
2013-07,177,
2013-08,220,
2013-09,482,
2013-10,79,
2013-11,78,
2013-12,902,
2014-01,-468,
2014-02,476,
2014-03,575,
2014-04,-303,
2014-05,-383,
2014-06,-276,
2014-07,1929,
2014-08,486,
2014-09,-373,
2014-10,-35,
2014-11,387,
