"",BBK01.OEHB09P,BBK01.OEHB09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:35,
2002-01,1.677,
2002-04,1.696,
2002-07,1.653,
2002-10,1.651,
2003-01,1.687,
2003-04,1.691,
2003-07,1.683,
2003-10,1.648,
2004-01,1.609,
2004-04,1.599,
2004-07,1.562,
2004-10,1.572,
2005-01,1.564,
2005-04,1.568,
2005-07,1.542,
2005-10,1.540,
2006-01,1.540,
2006-04,1.582,
2006-07,1.584,
2006-10,1.597,
2007-01,1.616,
2007-04,1.620,
2007-07,1.682,
2007-10,1.665,
2008-01,1.664,
2008-04,1.716,
2008-07,1.797,
2008-10,1.818,
2009-01,1.863,
2009-04,1.924,
2009-07,1.912,
2009-10,1.948,
2010-01,1.950,
2010-04,2.018,
2010-07,2.004,
2010-10,2.061,
2011-01,2.123,
2011-04,2.182,
2011-07,2.139,
2011-10,2.200,
2012-01,2.299,
2012-04,2.368,
2012-07,2.431,
2012-10,2.427,
2013-01,2.521,
2013-04,2.555,
2013-07,2.550,
2013-10,2.575,
2014-01,2.530,
2014-04,2.531,
2014-07,2.594,
