"",BBK01.OEAC37Q,BBK01.OEAC37Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:40,
2002-01,0.284,
2002-04,0.185,
2002-07,0.190,
2002-10,0.180,
2003-01,0.181,
2003-04,0.220,
2003-07,0.215,
2003-10,0.204,
2004-01,0.190,
2004-04,0.164,
2004-07,0.137,
2004-10,0.136,
2005-01,0.151,
2005-04,0.137,
2005-07,0.115,
2005-10,0.103,
2006-01,0.113,
2006-04,0.116,
2006-07,0.130,
2006-10,0.155,
2007-01,0.184,
2007-04,0.144,
2007-07,0.142,
2007-10,0.144,
2008-01,0.130,
2008-04,0.111,
2008-07,0.110,
2008-10,0.112,
2009-01,0.115,
2009-04,0.120,
2009-07,0.136,
2009-10,0.134,
2010-01,0.705,
2010-04,0.651,
2010-07,0.569,
2010-10,0.493,
2011-01,0.713,
2011-04,0.676,
2011-07,0.197,
2011-10,0.185,
2012-01,0.230,
2012-04,0.223,
2012-07,0.209,
2012-10,0.561,
2013-01,0.517,
2013-04,0.505,
2013-07,0.495,
2013-10,0.850,
2014-01,0.942,
2014-04,0.891,
2014-07,0.919,
