"",BBK01.OEAN07H,BBK01.OEAN07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:50,
2002-01,2.622,
2002-04,2.576,
2002-07,2.528,
2002-10,2.564,
2003-01,2.318,
2003-04,2.310,
2003-07,2.274,
2003-10,2.308,
2004-01,2.074,
2004-04,2.047,
2004-07,2.023,
2004-10,2.049,
2005-01,1.931,
2005-04,1.917,
2005-07,1.931,
2005-10,1.885,
2006-01,1.722,
2006-04,1.695,
2006-07,1.661,
2006-10,1.659,
2007-01,1.452,
2007-04,1.367,
2007-07,1.316,
2007-10,1.334,
2008-01,1.184,
2008-04,1.213,
2008-07,1.215,
2008-10,1.275,
2009-01,1.185,
2009-04,1.208,
2009-07,1.225,
2009-10,1.273,
2010-01,1.230,
2010-04,1.230,
2010-07,1.250,
2010-10,1.295,
2011-01,1.294,
2011-04,1.313,
2011-07,1.299,
2011-10,1.379,
2012-01,1.374,
2012-04,1.532,
2012-07,1.684,
2012-10,1.858,
2013-01,1.969,
2013-04,2.099,
2013-07,2.158,
2013-10,2.239,
2014-01,2.317,
2014-04,2.407,
2014-07,2.459,
