"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:19,
1971-12,1.645,
1972-01,1.717,
1972-02,1.690,
1972-03,1.640,
1972-04,1.633,
1972-05,1.628,
1972-06,1.625,
1972-07,1.684,
1972-08,1.656,
1972-09,1.720,
1972-10,1.742,
1972-11,1.787,
1972-12,1.879,
1973-01,1.829,
1973-02,1.795,
1973-03,1.765,
1973-04,1.811,
1973-05,1.725,
1973-06,1.705,
1973-07,1.714,
1973-08,1.753,
1973-09,1.731,
1973-10,1.728,
1973-11,1.723,
1973-12,1.708,
1974-01,1.695,
1974-02,1.699,
1974-03,1.724,
1974-04,1.738,
1974-05,1.763,
1974-06,1.763,
1974-07,1.777,
1974-08,1.779,
1974-09,1.820,
1974-10,1.860,
1974-11,1.896,
1974-12,2.142,
1975-01,2.248,
1975-02,2.259,
1975-03,2.320,
1975-04,2.329,
1975-05,2.360,
1975-06,2.454,
1975-07,2.519,
1975-08,2.545,
1975-09,2.538,
1975-10,2.602,
1975-11,2.622,
1975-12,2.646,
1976-01,2.668,
1976-02,2.703,
1976-03,2.738,
1976-04,2.757,
1976-05,2.835,
1976-06,2.862,
1976-07,2.889,
1976-08,2.999,
1976-09,2.993,
1976-10,2.891,
1976-11,2.954,
1976-12,3.091,
1977-01,3.073,
1977-02,3.084,
1977-03,3.133,
1977-04,3.168,
1977-05,3.177,
1977-06,3.209,
1977-07,3.334,
1977-08,3.432,
1977-09,3.498,
1977-10,3.433,
1977-11,3.458,
1977-12,3.447,
1978-01,3.450,
1978-02,3.468,
1978-03,3.528,
1978-04,3.606,
1978-05,3.641,
1978-06,3.642,
1978-07,3.694,
1978-08,3.724,
1978-09,3.738,
1978-10,3.719,
1978-11,3.456,
1978-12,3.594,
1979-01,3.660,
1979-02,3.769,
1979-03,3.828,
1979-04,3.701,
1979-05,3.740,
1979-06,3.959,
1979-07,4.006,
1979-08,3.988,
1979-09,3.968,
1979-10,4.308,
1979-11,4.282,
1979-12,4.039,
1980-01,4.412,
1980-02,4.456,
1980-03,4.517,
