"",BBK01.OEBM01T,BBK01.OEBM01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:19,
2002-01,0.478,
2002-04,0.463,
2002-07,0.477,
2002-10,0.376,
2003-01,0.388,
2003-04,0.395,
2003-07,0.397,
2003-10,0.354,
2004-01,0.314,
2004-04,0.368,
2004-07,0.369,
2004-10,0.400,
2005-01,0.555,
2005-04,0.564,
2005-07,0.605,
2005-10,0.584,
2006-01,0.579,
2006-04,0.650,
2006-07,0.633,
2006-10,0.674,
2007-01,0.651,
2007-04,0.741,
2007-07,0.793,
2007-10,0.768,
2008-01,0.724,
2008-04,0.773,
2008-07,0.685,
2008-10,0.779,
2009-01,0.732,
2009-04,0.745,
2009-07,0.786,
2009-10,0.679,
2010-01,0.601,
2010-04,0.736,
2010-07,0.677,
2010-10,0.817,
2011-01,0.680,
2011-04,0.667,
2011-07,0.830,
2011-10,0.859,
2012-01,0.625,
2012-04,0.576,
2012-07,0.662,
2012-10,0.675,
2013-01,0.594,
2013-04,0.676,
2013-07,0.645,
2013-10,0.559,
2014-01,0.615,
2014-04,0.607,
2014-07,0.680,
