"",BBK01.TQ7015L,BBK01.TQ7015L_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - Western Hemisphere                   FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:30,
2005-10,1.26,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,1.13,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,1.68,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1.48,
2009-01,1.45,
2009-04,1.52,
2009-07,1.45,
2009-10,1.70,
2010-01,1.56,
2010-04,1.36,
2010-07,1.27,
2010-10,1.40,
2011-01,1.02,
2011-04,1.03,
2011-07,1.20,
2011-10,1.20,
2012-01,1.20,
2012-04,1.20,
2012-07,1.30,
2012-10,1.60,
2013-01,1.60,
2013-04,1.50,
2013-07,1.40,
2013-10,1.50,
2014-01,1.60,
2014-04,1.90,
2014-07,2.20,
