"",BBK01.OEAE30N,BBK01.OEAE30N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:45,
2002-01,3.042,
2002-04,3.038,
2002-07,2.980,
2002-10,2.862,
2003-01,2.916,
2003-04,2.912,
2003-07,2.902,
2003-10,2.912,
2004-01,2.846,
2004-04,2.989,
2004-07,3.097,
2004-10,3.451,
2005-01,3.454,
2005-04,3.696,
2005-07,3.766,
2005-10,3.917,
2006-01,3.889,
2006-04,4.023,
2006-07,4.346,
2006-10,4.261,
2007-01,4.088,
2007-04,4.130,
2007-07,4.223,
2007-10,4.564,
2008-01,4.409,
2008-04,4.594,
2008-07,4.025,
2008-10,3.671,
2009-01,3.788,
2009-04,3.877,
2009-07,3.746,
2009-10,3.572,
2010-01,3.742,
2010-04,3.772,
2010-07,3.771,
2010-10,3.736,
2011-01,3.802,
2011-04,3.761,
2011-07,3.663,
2011-10,3.673,
2012-01,3.891,
2012-04,4.106,
2012-07,3.799,
2012-10,4.156,
2013-01,3.400,
2013-04,4.087,
2013-07,3.799,
2013-10,3.791,
2014-01,3.842,
2014-04,3.743,
2014-07,3.843,
