"",BBFB1.Q.N.DE.FR.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:22,
1991-01,270.678,
1991-04,71.174,
1991-07,202.943,
1991-10,157.617,
1992-01,181.056,
1992-04,119.190,
1992-07,165.953,
1992-10,126.319,
1993-01,352.050,
1993-04,-77.981,
1993-07,112.594,
1993-10,-85.999,
1994-01,83.546,
1994-04,-60.670,
1994-07,163.393,
1994-10,148.238,
1995-01,-341.012,
1995-04,-140.886,
1995-07,-190.602,
1995-10,-220.545,
1996-01,58.699,
1996-04,143.826,
1996-07,33.001,
1996-10,-5.396,
1997-01,-161.150,
1997-04,17.830,
1997-07,-181.341,
1997-10,-460.378,
1998-01,-413.892,
1998-04,-230.856,
1998-07,-375.365,
1998-10,-297.854,
1999-01,-665.695,
1999-04,-524.778,
1999-07,-315.190,
1999-10,-500.017,
2000-01,-556.170,
2000-04,-316.621,
2000-07,-474.142,
2000-10,-55.497,
2001-01,-144.821,
2001-04,621.272,
2001-07,-50.579,
2001-10,-341.247,
2002-01,97.429,
2002-04,251.609,
2002-07,-37.999,
2002-10,-318.156,
2003-01,-196.200,
2003-04,-398.353,
2003-07,-139.997,
2003-10,142.662,
2004-01,288.441,
2004-04,1067.734,
2004-07,590.754,
2004-10,618.906,
2005-01,-880.046,
2005-04,-957.985,
2005-07,-1046.044,
2005-10,-949.831,
2006-01,460.504,
2006-04,678.105,
2006-07,227.210,
2006-10,198.545,
2007-01,1995.564,
2007-04,1258.871,
2007-07,1471.551,
2007-10,1645.972,
2008-01,3273.272,
2008-04,-346.983,
2008-07,-590.575,
2008-10,571.022,
2009-01,1234.205,
2009-04,653.786,
2009-07,712.686,
2009-10,207.584,
2010-01,392.011,
2010-04,90.537,
2010-07,408.124,
2010-10,684.845,
2011-01,999.878,
2011-04,746.395,
2011-07,1304.150,
2011-10,1303.556,
2012-01,1098.032,
2012-04,438.373,
2012-07,1175.021,
2012-10,1243.590,
2013-01,1690.146,
2013-04,1026.533,
2013-07,1673.358,
2013-10,1692.769,
2014-01,1319.874,Provisional value
2014-04,903.673,Provisional value
2014-07,1411.235,Provisional value
