"",BBK01.OEAE12N,BBK01.OEAE12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:38,
2002-01,3.257,
2002-04,3.306,
2002-07,3.089,
2002-10,3.075,
2003-01,2.919,
2003-04,2.617,
2003-07,2.725,
2003-10,2.760,
2004-01,2.579,
2004-04,2.733,
2004-07,2.278,
2004-10,2.259,
2005-01,2.035,
2005-04,1.961,
2005-07,1.910,
2005-10,1.567,
2006-01,1.646,
2006-04,1.883,
2006-07,1.909,
2006-10,1.797,
2007-01,1.665,
2007-04,2.362,
2007-07,2.644,
2007-10,2.590,
2008-01,2.938,
2008-04,3.107,
2008-07,3.135,
2008-10,3.213,
2009-01,2.458,
2009-04,2.461,
2009-07,3.309,
2009-10,2.595,
2010-01,1.470,
2010-04,1.292,
2010-07,1.303,
2010-10,1.639,
2011-01,1.521,
2011-04,1.409,
2011-07,1.570,
2011-10,1.188,
2012-01,1.437,
2012-04,1.146,
2012-07,1.196,
2012-10,1.191,
2013-01,1.396,
2013-04,1.329,
2013-07,1.278,
2013-10,1.135,
2014-01,1.119,
2014-04,1.282,
2014-07,0.956,
