"",BBK01.OEHL06O,BBK01.OEHL06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:03,
2002-01,2.322,
2002-04,2.354,
2002-07,2.399,
2002-10,2.454,
2003-01,2.294,
2003-04,2.215,
2003-07,2.199,
2003-10,2.271,
2004-01,2.260,
2004-04,2.292,
2004-07,2.350,
2004-10,2.506,
2005-01,2.528,
2005-04,2.505,
2005-07,2.437,
2005-10,2.516,
2006-01,2.601,
2006-04,2.771,
2006-07,2.922,
2006-10,3.155,
2007-01,3.611,
2007-04,4.061,
2007-07,4.529,
2007-10,5.060,
2008-01,5.306,
2008-04,5.583,
2008-07,5.897,
2008-10,5.685,
2009-01,5.671,
2009-04,4.702,
2009-07,3.933,
2009-10,3.525,
2010-01,3.173,
2010-04,3.001,
2010-07,2.899,
2010-10,2.994,
2011-01,3.088,
2011-04,3.210,
2011-07,3.324,
2011-10,3.517,
2012-01,3.559,
2012-04,3.506,
2012-07,3.394,
2012-10,3.251,
2013-01,3.076,
2013-04,2.940,
2013-07,2.794,
2013-10,2.722,
2014-01,2.595,
2014-04,2.518,
2014-07,2.410,
