"",BBK01.TVM303,BBK01.TVM303_FLAGS
"",Money stock M3 / 3-month moving average (centred),
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:38:07,
1981-02,10.4,
1981-03,10.7,
1981-04,10.9,
1981-05,11.1,
1981-06,11.1,
1981-07,10.9,
1981-08,10.9,
1981-09,10.8,
1981-10,10.7,
1981-11,10.5,
1981-12,10.5,
1982-01,10.6,
1982-02,10.6,
1982-03,10.5,
1982-04,10.4,
1982-05,10.5,
1982-06,10.7,
1982-07,11.2,
1982-08,11.3,
1982-09,11.4,
1982-10,11.2,
1982-11,11.3,
1982-12,11.3,
1983-01,11.2,
1983-02,10.9,
1983-03,10.5,
1983-04,10.3,
1983-05,10.0,
1983-06,9.8,
1983-07,9.5,
1983-08,9.3,
1983-09,9.2,
1983-10,9.1,
1983-11,9.1,
1983-12,8.9,
1984-01,8.6,
1984-02,8.4,
1984-03,8.4,
1984-04,8.5,
1984-05,8.5,
1984-06,8.5,
1984-07,8.5,
1984-08,8.7,
1984-09,8.7,
1984-10,8.7,
1984-11,8.5,
1984-12,8.5,
1985-01,8.8,
1985-02,9.2,
1985-03,9.4,
1985-04,9.2,
1985-05,8.9,
1985-06,8.6,
1985-07,8.3,
1985-08,8.0,
1985-09,7.8,
1985-10,7.6,
1985-11,7.5,
1985-12,7.2,
1986-01,6.8,
1986-02,6.5,
1986-03,6.2,
1986-04,6.2,
1986-05,6.1,
1986-06,6.2,
1986-07,6.2,
1986-08,6.4,
1986-09,6.6,
1986-10,6.9,
1986-11,7.0,
1986-12,7.1,
1987-01,7.2,
1987-02,7.2,
1987-03,7.5,
1987-04,7.8,
1987-05,8.1,
1987-06,8.1,
1987-07,8.2,
1987-08,8.2,
1987-09,8.2,
1987-10,8.2,
1987-11,8.2,
1987-12,8.1,
1988-01,8.0,
1988-02,7.9,
1988-03,7.8,
1988-04,7.9,
1988-05,7.9,
1988-06,8.1,
1988-07,8.1,
1988-08,8.2,
1988-09,8.3,
1988-10,8.3,
1988-11,8.3,
1988-12,8.4,
1989-01,8.6,
1989-02,9.0,
1989-03,9.0,
1989-04,9.0,
1989-05,9.1,
1989-06,9.4,
1989-07,9.6,
1989-08,9.6,
1989-09,9.4,
1989-10,9.3,
1989-11,9.4,
1989-12,9.9,
1990-01,10.2,
1990-02,9.9,
1990-03,9.6,
1990-04,9.1,
1990-05,8.9,
1990-06,8.6,
1990-07,8.4,
1990-08,8.4,
1990-09,8.5,
1990-10,8.6,
1990-11,8.5,
1990-12,8.2,
1991-01,8.0,
1991-02,7.9,
1991-03,8.0,
1991-04,8.0,
1991-05,8.0,
1991-06,7.9,
1991-07,7.9,
1991-08,7.9,
1991-09,7.9,
1991-10,7.8,
1991-11,7.8,
1991-12,7.6,
1992-01,7.3,
1992-02,7.3,
1992-03,7.5,
1992-04,7.9,
1992-05,8.2,
1992-06,8.2,
1992-07,8.0,
1992-08,8.2,
1992-09,8.1,
1992-10,8.3,
1992-11,7.9,
1992-12,7.8,
