"",BBK01.OEYB06S,BBK01.OEYB06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:30,
2002-01,0.097,
2002-04,0.137,
2002-07,0.141,
2002-10,0.095,
2003-01,0.113,
2003-04,0.116,
2003-07,0.114,
2003-10,0.127,
2004-01,0.095,
2004-04,0.105,
2004-07,0.096,
2004-10,0.102,
2005-01,0.104,
2005-04,0.083,
2005-07,0.102,
2005-10,0.103,
2006-01,0.101,
2006-04,0.080,
2006-07,0.076,
2006-10,0.040,
2007-01,0.022,
2007-04,0.065,
2007-07,0.064,
2007-10,0.069,
2008-01,0.076,
2008-04,0.036,
2008-07,0.023,
2008-10,0.025,
2009-01,0.028,
2009-04,0.036,
2009-07,0.031,
2009-10,0.097,
2010-01,0.109,
2010-04,0.036,
2010-07,0.030,
2010-10,0.110,
2011-01,0.100,
2011-04,0.056,
2011-07,0.049,
2011-10,0.104,
2012-01,0.098,
2012-04,0.056,
2012-07,0.046,
2012-10,0.054,
2013-01,0.056,
2013-04,0.057,
2013-07,0.027,
2013-10,0.065,
2014-01,0.053,
2014-04,0.030,
2014-07,0.028,
