"",BBK01.OEBK01S,BBK01.OEBK01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:53,
2002-01,0.404,
2002-04,0.410,
2002-07,0.393,
2002-10,0.340,
2003-01,0.323,
2003-04,0.313,
2003-07,0.330,
2003-10,0.344,
2004-01,0.335,
2004-04,0.329,
2004-07,0.339,
2004-10,0.346,
2005-01,0.346,
2005-04,0.348,
2005-07,0.367,
2005-10,0.392,
2006-01,0.447,
2006-04,0.384,
2006-07,0.386,
2006-10,0.419,
2007-01,0.402,
2007-04,0.414,
2007-07,0.458,
2007-10,0.447,
2008-01,0.428,
2008-04,0.437,
2008-07,0.540,
2008-10,0.541,
2009-01,0.482,
2009-04,0.485,
2009-07,0.497,
2009-10,0.488,
2010-01,0.471,
2010-04,0.503,
2010-07,0.532,
2010-10,0.537,
2011-01,0.526,
2011-04,0.546,
2011-07,0.560,
2011-10,0.605,
2012-01,0.587,
2012-04,0.601,
2012-07,0.613,
2012-10,0.624,
2013-01,0.605,
2013-04,0.614,
2013-07,0.643,
2013-10,0.675,
2014-01,0.661,
2014-04,0.679,
2014-07,0.712,
