"",BBEX3.M.EGP.USD.CA.AA.A01,BBEX3.M.EGP.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Egypt / USD 1 = EGP ... (buying),
unit,EGP (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:12,
1992-01,3.3182,
1992-02,3.3182,
1992-03,3.3202,
1992-04,3.3202,
1992-05,3.3222,
1992-06,3.3222,
1992-07,3.3151,
1992-08,3.3142,
1992-09,3.3192,
1992-10,3.3242,
1992-11,3.3262,
1992-12,3.3383,
1993-01,3.3383,
1993-02,3.3418,
1993-03,3.3403,
1993-04,3.3373,
1993-05,3.3433,
1993-06,3.3513,
1993-07,3.3523,
1993-08,3.3533,
1993-09,3.3553,
1993-10,3.3583,
1993-11,3.3603,
1993-12,3.3690,
1994-01,3.3690,
1994-02,3.3740,
1994-03,3.3760,
1994-04,3.3805,
1994-05,3.3835,
1994-06,3.3815,
1994-07,3.3735,
1994-08,3.3825,
1994-09,3.3825,
1994-10,3.3845,
1994-11,3.3925,
1994-12,3.3910,
1995-01,3.3910,
1995-02,3.3910,
1995-03,3.3870,
1995-04,3.3950,
1995-05,3.3950,
1995-06,3.3970,
1995-07,3.3920,
1995-08,3.3950,
1995-09,3.3900,
1995-10,3.3940,
1995-11,3.3920,
1995-12,3.3920,
1996-01,3.3950,
1996-02,3.3910,
1996-03,3.3940,
1996-04,3.3940,
1996-05,3.3910,
1996-06,3.3930,
1996-07,3.3910,
1996-08,3.3890,
1996-09,3.3910,
1996-10,3.3900,
1996-11,3.3880,
1996-12,3.3880,
1997-01,3.3890,
1997-02,3.3880,
1997-03,3.3890,
1997-04,3.3880,
1997-05,3.3890,
1997-06,3.3900,
1997-07,3.3910,
1997-08,3.3880,
1997-09,3.3900,
1997-10,3.3900,
1997-11,3.3900,
1997-12,3.3920,
1998-01,3.3890,
1998-02,3.3900,
1998-03,3.3910,
1998-04,3.3930,
1998-05,3.3860,
1998-06,3.3870,
1998-07,3.3890,
1998-08,3.3870,
1998-09,3.3900,
1998-10,3.3950,
1998-11,3.3999,
1998-12,3.4019,
1999-01,3.4019,
1999-02,3.4039,
1999-03,3.4039,
1999-04,3.4039,
1999-05,3.4079,
1999-06,3.4079,
1999-07,3.4079,
1999-08,3.4079,
1999-09,3.4079,
1999-10,3.4079,
1999-11,3.4079,
1999-12,3.4150,
2000-01,3.4200,
2000-02,3.4260,
2000-03,3.4290,
2000-04,3.4310,
2000-05,3.4400,
2000-06,3.4650,
2000-07,3.4810,
2000-08,3.5020,
2000-09,3.5550,
2000-10,3.6900,
2000-11,3.7600,
2000-12,3.7600,
2001-01,3.8200,
2001-02,3.8350,
2001-03,3.8500,
2001-04,3.8400,
2001-05,3.8500,
2001-06,3.8550,
2001-07,3.9200,
2001-08,4.2500,
2001-09,4.2400,
2001-10,4.2500,
2001-11,4.2550,
2001-12,4.5200,
2002-01,4.5500,
2002-02,4.5800,
2002-03,4.5800,
2002-04,4.5800,
2002-05,4.5800,
2002-06,4.5800,
2002-07,4.5800,
2002-08,4.5800,
2002-09,4.5800,
2002-10,4.5800,
2002-11,4.5800,
2002-12,4.5900,
2003-01,5.3500,comment
2003-02,5.5550,
2003-03,5.7200,
2003-04,5.8700,
2003-05,5.9600,
2003-06,6.0500,
2003-07,6.1000,
2003-08,6.1400,
2003-09,6.1075,
2003-10,6.1075,
2003-11,6.1175,
2003-12,6.1250,
2004-01,6.1450,
2004-02,6.1450,
2004-03,6.1600,
2004-04,6.1600,
2004-05,6.1600,
2004-06,6.1600,
2004-07,6.1650,
2004-08,6.1600,
2004-09,6.2050,
2004-10,6.2275,
2004-11,6.1950,
2004-12,6.0750,
2005-01,5.8100,
2005-02,5.7800,
2005-03,5.7800,
2005-04,5.7800,
2005-05,5.7800,
2005-06,5.7800,
2005-07,5.7625,
2005-08,5.7600,
2005-09,5.7525,
2005-10,5.7500,
2005-11,5.7500,
2005-12,5.7325,
2006-01,5.7225,
2006-02,5.7250,
2006-03,5.7325,
2006-04,5.7425,
2006-05,5.7575,
2006-06,5.7525,
2006-07,5.7350,
2006-08,5.7350,
2006-09,5.7325,
2006-10,5.7250,
2006-11,5.7125,
2006-12,5.7025,
2007-01,5.6900,
2007-02,5.6900,
2007-03,5.6925,
2007-04,5.6725,
2007-05,5.6900,
2007-06,5.6900,
2007-07,5.6400,
2007-08,5.6450,
2007-09,5.5800,
2007-10,5.5050,
2007-11,5.5175,
2007-12,5.5075,
2008-01,5.5450,
2008-02,5.4800,
2008-03,5.4450,
2008-04,5.3700,
2008-05,5.3375,
2008-06,5.3200,
2008-07,5.2975,
2008-08,5.3625,
2008-09,5.4525,
2008-10,5.5600,
2008-11,5.5050,
2008-12,5.5000,
2009-01,5.5575,
2009-02,5.6100,
2009-03,5.6300,
2009-04,5.6250,
2009-05,5.6100,
2009-06,5.5850,
2009-07,5.5380,
2009-08,5.5200,
2009-09,5.4925,
2009-10,5.4625,
2009-11,5.4500,
2009-12,5.4800,
2010-01,5.4525,
2010-02,5.4775,
2010-03,5.4925,
2010-04,5.5475,
2010-05,5.6500,
2010-06,5.6825,
2010-07,5.6925,
2010-08,5.6975,
2010-09,5.6875,
2010-10,5.7675,
2010-11,5.7750,
2010-12,5.7925,
2011-01,5.8450,
2011-02,5.8800,
2011-03,5.9500,
2011-04,5.9350,
2011-05,5.9350,
2011-06,5.9600,
2011-07,5.9475,
2011-08,5.9350,
2011-09,5.9550,
2011-10,5.9575,
2011-11,5.9950,
2011-12,6.0200,
2012-01,6.0200,
2012-02,6.0250,
2012-03,6.0375,
2012-04,6.0425,
2012-05,6.0375,
2012-06,6.0550,
2012-07,6.0675,
2012-08,6.0925,
2012-09,6.0850,
2012-10,6.1075,
2012-11,6.1075,
2012-12,6.3550,
2013-01,6.7153,
2013-02,6.7403,
2013-03,6.8030,
2013-04,6.9344,
2013-05,6.9837,
2013-06,7.0193,
2013-07,7.0008,
2013-08,6.9856,
2013-09,6.8915,
2013-10,6.8892,
2013-11,6.8873,
2013-12,6.9485,
2014-01,6.9616,
2014-02,6.9606,
2014-03,6.9674,
2014-04,7.0075,
2014-05,7.1503,
2014-06,7.1500,
2014-07,7.1500,
2014-08,7.1500,
2014-09,7.1500,
2014-10,7.1500,
2014-11,7.1500,
2014-12,7.1500,
2015-01,7.5900,
"",General: *) Classified as a free market rate until the end of 1993.,
"","Source: National Bank of Egypt, Cairo.",
"",Comment on 2003-01: Exchange rate floated as from 29 January 2003.,
