"",BBSF2.M.1.S.00000.GEM01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEM01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:01,
1993-04,30,
1993-05,30,
1993-06,129,
1993-07,39,
1993-08,18,
1993-09,34,
1993-10,89,
1993-11,309,
1993-12,1806,
1994-01,428,
1994-02,222,
1994-03,91,
1994-04,69,
1994-05,52,
1994-06,204,
1994-07,18,
1994-08,28,
1994-09,38,
1994-10,84,
1994-11,224,
1994-12,2153,
1995-01,281,
1995-02,198,
1995-03,87,
1995-04,33,
1995-05,88,
1995-06,66,
1995-07,37,
1995-08,65,
1995-09,70,
1995-10,146,
1995-11,246,
1995-12,2493,
1996-01,300,
1996-02,192,
1996-03,114,
1996-04,134,
1996-05,114,
1996-06,171,
1996-07,84,
1996-08,26,
1996-09,43,
1996-10,79,
1996-11,332,
1996-12,3154,
1997-01,405,
1997-02,440,
1997-03,164,
1997-04,178,
1997-05,138,
1997-06,324,
1997-07,283,
1997-08,60,
1997-09,70,
1997-10,169,
1997-11,317,
1997-12,3926,
1998-01,475,
1998-02,894,
1998-03,375,
1998-04,267,
1998-05,203,
1998-06,301,
1998-07,294,
1998-08,167,
1998-09,286,
1998-10,126,
1998-11,411,
1998-12,5315,
1999-01,752,
1999-02,652,
1999-03,496,
1999-04,400,
1999-05,416,
1999-06,353,
1999-07,169,
1999-08,75,
1999-09,170,
1999-10,184,
1999-11,1114,
1999-12,6589,
2000-01,1502,
2000-02,1331,
2000-03,575,
2000-04,287,
2000-05,435,
2000-06,492,
2000-07,201,
2000-08,155,
2000-09,154,
2000-10,225,
2000-11,763,
2000-12,7378,
2001-01,1008,
2001-02,996,
2001-03,481,
2001-04,340,
2001-05,529,
2001-06,475,
2001-07,86,
2001-08,75,
2001-09,160,
2001-10,232,
2001-11,936,
2001-12,4995,
2002-01,740,
2002-02,684,
2002-03,660,
2002-04,420,
2002-05,437,
2002-06,296,
2002-07,84,
2002-08,86,
2002-09,116,
2002-10,160,
2002-11,880,
2002-12,4542,
2003-01,520,
2003-02,642,
2003-03,535,
2003-04,392,
2003-05,428,
2003-06,313,
2003-07,105,
2003-08,90,
2003-09,197,
2003-10,238,
2003-11,984,
2003-12,4279,
2004-01,529,
2004-02,557,
2004-03,1823,
2004-04,542,
2004-05,382,
2004-06,293,
2004-07,98,
2004-08,155,
2004-09,316,
2004-10,163,
2004-11,1374,
2004-12,4919,
2005-01,477,
2005-02,542,
2005-03,1160,
2005-04,579,
2005-05,487,
2005-06,251,
2005-07,214,
2005-08,107,
2005-09,904,
2005-10,242,
2005-11,1077,
2005-12,4647,
2006-01,632,
2006-02,860,
2006-03,705,
2006-04,826,
2006-05,352,
2006-06,235,
2006-07,131,
2006-08,90,
2006-09,276,
2006-10,130,
2006-11,665,
2006-12,4683,
2007-01,939,
2007-02,1284,
2007-03,1000,
2007-04,432,
2007-05,427,
2007-06,543,
2007-07,183,
2007-08,93,
2007-09,314,
2007-10,347,
2007-11,912,
2007-12,5618,
2008-01,2518,
2008-02,550,
2008-03,872,
2008-04,371,
2008-05,414,
2008-06,615,
2008-07,169,
2008-08,117,
2008-09,256,
2008-10,247,
2008-11,1706,
2008-12,3652,
2009-01,940,
2009-02,740,
2009-03,512,
2009-04,453,
2009-05,344,
2009-06,252,
2009-07,113,
2009-08,298,
2009-09,268,
2009-10,224,
2009-11,505,
2009-12,3021,
2010-01,587,
2010-02,236,
2010-03,356,
2010-04,288,
2010-05,286,
2010-06,219,
2010-07,141,
2010-08,111,
2010-09,306,
2010-10,189,
2010-11,581,
2010-12,3130,
2011-01,665,
2011-02,400,
2011-03,465,
2011-04,238,
2011-05,301,
2011-06,375,
2011-07,73,
2011-08,146,
2011-09,338,
2011-10,130,
2011-11,720,
2011-12,2959,
2012-01,371,
2012-02,455,
2012-03,505,
2012-04,222,
2012-05,213,
2012-06,421,
2012-07,169,
2012-08,129,
2012-09,533,
2012-10,151,
2012-11,788,
2012-12,3348,
2013-01,536,
2013-02,448,
2013-03,380,
2013-04,262,
2013-05,296,
2013-06,423,
2013-07,35,
2013-08,236,
2013-09,233,
2013-10,127,
2013-11,701,
2013-12,4148,
2014-01,553,
2014-02,572,
2014-03,464,
2014-04,200,
2014-05,172,
2014-06,586,
2014-07,63,
2014-08,242,
2014-09,324,
2014-10,239,
2014-11,1144,
