"",BBSF2.M.1.T.00000.DAC01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.DAC01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Funds-of-funds / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:15,
2009-09,28205,
2009-10,29041,
2009-11,30632,
2009-12,31719,
2010-01,31741,
2010-02,31905,
2010-03,32858,
2010-04,33263,
2010-05,32992,
2010-06,32693,
2010-07,33616,
2010-08,37502,
2010-09,38596,
2010-10,39491,
2010-11,40045,
2010-12,40849,
2011-01,40553,
2011-02,41445,
2011-03,41183,
2011-04,41870,
2011-05,41821,
2011-06,41790,
2011-07,42749,
2011-08,41312,
2011-09,40870,
2011-10,42170,
2011-11,41119,
2011-12,42410,
2012-01,43443,
2012-02,43951,
2012-03,43900,
2012-04,44447,
2012-05,43934,
2012-06,44028,
2012-07,54335,
2012-08,54087,
2012-09,54576,
2012-10,55104,
2012-11,55283,
2012-12,55975,
2013-01,56814,
2013-02,57559,
2013-03,58300,
2013-04,59479,
2013-05,59696,
2013-06,57603,
2013-07,58458,
2013-08,58227,
2013-09,58971,
2013-10,60853,
2013-11,61160,
2013-12,61506,
2014-01,61892,
2014-02,62740,
2014-03,63705,
2014-04,64229,
2014-05,65531,
2014-06,66290,
2014-07,66714,
2014-08,67657,
2014-09,68055,
2014-10,68315,
2014-11,70338,
