"",BBFB1.Q.N.DE.JP.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.JP.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Japan,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:06,
1991-01,270.221,
1991-04,351.441,
1991-07,417.049,
1991-10,352.688,
1992-01,312.132,
1992-04,365.973,
1992-07,336.236,
1992-10,404.806,
1993-01,330.549,
1993-04,421.306,
1993-07,445.174,
1993-10,426.437,
1994-01,366.188,
1994-04,383.085,
1994-07,397.204,
1994-10,392.228,
1995-01,412.623,
1995-04,440.866,
1995-07,523.474,
1995-10,459.398,
1996-01,345.944,
1996-04,401.265,
1996-07,444.036,
1996-10,462.931,
1997-01,428.959,
1997-04,436.798,
1997-07,587.174,
1997-10,514.709,
1998-01,528.687,
1998-04,527.726,
1998-07,635.788,
1998-10,556.861,
1999-01,423.681,
1999-04,505.355,
1999-07,618.460,
1999-10,817.841,
2000-01,485.583,
2000-04,583.214,
2000-07,689.728,
2000-10,782.782,
2001-01,562.865,
2001-04,704.136,
2001-07,700.601,
2001-10,758.266,
2002-01,589.367,
2002-04,723.193,
2002-07,737.039,
2002-10,700.428,
2003-01,643.653,
2003-04,643.241,
2003-07,580.993,
2003-10,662.598,
2004-01,600.948,
2004-04,751.423,
2004-07,670.266,
2004-10,782.148,
2005-01,649.708,
2005-04,753.697,
2005-07,784.631,
2005-10,869.041,
2006-01,939.026,
2006-04,1053.597,
2006-07,1026.949,
2006-10,1152.106,
2007-01,973.184,
2007-04,1059.017,
2007-07,996.890,
2007-10,1020.390,
2008-01,1096.987,
2008-04,1157.799,
2008-07,1035.808,
2008-10,1228.957,
2009-01,1133.352,
2009-04,1164.621,
2009-07,1037.678,
2009-10,1057.718,
2010-01,958.234,
2010-04,1133.726,
2010-07,1192.471,
2010-10,1217.164,
2011-01,904.441,
2011-04,961.444,
2011-07,1012.013,
2011-10,1098.632,
2012-01,1047.603,
2012-04,1047.240,
2012-07,1118.635,
2012-10,1154.362,
2013-01,1092.246,
2013-04,1120.871,
2013-07,1025.023,
2013-10,1187.017,
2014-01,965.948,Provisional value
2014-04,1057.020,Provisional value
2014-07,1029.879,Provisional value
