"",BBK01.OEAC55K,BBK01.OEAC55K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:34,
2002-01,23.193,
2002-04,23.533,
2002-07,24.328,
2002-10,26.981,
2003-01,26.120,
2003-04,24.232,
2003-07,24.499,
2003-10,24.515,
2004-01,23.859,
2004-04,27.572,
2004-07,27.667,
2004-10,28.081,
2005-01,27.801,
2005-04,28.102,
2005-07,28.646,
2005-10,32.397,
2006-01,33.317,
2006-04,33.650,
2006-07,33.513,
2006-10,33.191,
2007-01,33.062,
2007-04,33.161,
2007-07,32.848,
2007-10,32.387,
2008-01,32.455,
2008-04,33.096,
2008-07,34.175,
2008-10,34.771,
2009-01,35.104,
2009-04,37.066,
2009-07,37.267,
2009-10,33.543,
2010-01,35.760,
2010-04,37.476,
2010-07,37.320,
2010-10,38.139,
2011-01,37.391,
2011-04,37.762,
2011-07,41.222,
2011-10,41.860,
2012-01,41.271,
2012-04,42.588,
2012-07,42.683,
2012-10,40.472,
2013-01,40.525,
2013-04,40.682,
2013-07,42.055,
2013-10,38.218,
2014-01,38.936,
2014-04,39.291,
2014-07,39.499,
