"",BBK01.CEFI02,BBK01.CEFI02_FLAGS
"",Listed shares                                             debtor: Total           creditor: Finanzielle Sektoren,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:02,
1999-01,596.6,
1999-04,617.3,
1999-07,586.3,
1999-10,825.7,
2000-01,891.1,
2000-04,855.4,
2000-07,861.7,
2000-10,775.1,
2001-01,730.1,
2001-04,729.5,
2001-07,599.7,
2001-10,670.3,
2002-01,699.6,
2002-04,605.9,
2002-07,453.1,
2002-10,424.8,
2003-01,382.4,
2003-04,449.4,
2003-07,456.2,
2003-10,460.2,
2004-01,465.7,
2004-04,465.5,
2004-07,445.3,
2004-10,482.6,
2005-01,499.7,
2005-04,520.3,
2005-07,565.5,
2005-10,615.1,
2006-01,537.8,
2006-04,523.4,
2006-07,572.4,
2006-10,618.3,
2007-01,577.8,
2007-04,566.1,
2007-07,526.0,
2007-10,534.5,
2008-01,425.8,
2008-04,390.5,
2008-07,357.5,
2008-10,261.0,
2009-01,238.7,
2009-04,252.4,
2009-07,276.2,
2009-10,287.4,
2010-01,293.4,
2010-04,278.7,
2010-07,284.9,
2010-10,320.3,
2011-01,324.3,
2011-04,327.7,
2011-07,261.7,
2011-10,291.1,
2012-01,316.8,
2012-04,286.3,
2012-07,312.0,
2012-10,336.7,
2013-01,353.3,
2013-04,352.0,
2013-07,383.8,
2013-10,401.5,
2014-01,412.9,
2014-04,423.7,
2014-07,424.3,
