"",BBK01.OEAF11R,BBK01.OEAF11R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:39,
2002-01,0.364,
2002-04,0.367,
2002-07,0.391,
2002-10,0.388,
2003-01,0.377,
2003-04,0.380,
2003-07,0.372,
2003-10,0.359,
2004-01,0.344,
2004-04,0.350,
2004-07,0.347,
2004-10,0.316,
2005-01,0.302,
2005-04,0.309,
2005-07,0.312,
2005-10,0.291,
2006-01,0.276,
2006-04,0.286,
2006-07,0.289,
2006-10,0.263,
2007-01,0.269,
2007-04,0.269,
2007-07,0.243,
2007-10,0.240,
2008-01,0.240,
2008-04,0.235,
2008-07,0.239,
2008-10,0.228,
2009-01,0.210,
2009-04,0.215,
2009-07,0.212,
2009-10,0.210,
2010-01,0.200,
2010-04,0.196,
2010-07,0.201,
2010-10,0.185,
2011-01,0.192,
2011-04,0.185,
2011-07,0.185,
2011-10,0.176,
2012-01,0.177,
2012-04,0.171,
2012-07,0.161,
2012-10,0.159,
2013-01,0.154,
2013-04,0.153,
2013-07,0.158,
2013-10,0.151,
2014-01,0.151,
2014-04,0.159,
2014-07,0.156,
