"",BBK01.CEL050,BBK01.CEL050_FLAGS
"",Verbindlichkeiten Total                               debtor: OFI                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:49:49,
1999-01,-6.4,
1999-04,26.8,
1999-07,-16.5,
1999-10,8.1,
2000-01,36.2,
2000-04,18.3,
2000-07,-15.0,
2000-10,1.4,
2001-01,46.3,
2001-04,-0.8,
2001-07,-6.0,
2001-10,-5.3,
2002-01,6.9,
2002-04,-11.0,
2002-07,3.6,
2002-10,-19.3,
2003-01,33.7,
2003-04,12.4,
2003-07,7.9,
2003-10,-12.3,
2004-01,11.9,
2004-04,6.7,
2004-07,1.9,
2004-10,-15.6,
2005-01,41.0,
2005-04,7.4,
2005-07,35.2,
2005-10,-21.5,
2006-01,76.4,
2006-04,4.0,
2006-07,62.1,
2006-10,-25.7,
2007-01,62.8,
2007-04,42.3,
2007-07,-23.8,
2007-10,-3.0,
2008-01,58.9,
2008-04,18.4,
2008-07,17.0,
2008-10,-33.2,
2009-01,126.2,
2009-04,7.4,
2009-07,18.7,
2009-10,24.9,
2010-01,28.6,
2010-04,81.0,
2010-07,4.4,
2010-10,-22.0,
2011-01,16.4,
2011-04,43.0,
2011-07,33.9,
2011-10,-78.0,
2012-01,8.0,
2012-04,41.5,
2012-07,44.8,
2012-10,6.8,
2013-01,58.3,
2013-04,60.2,
2013-07,-62.7,
2013-10,-8.8,
2014-01,48.2,
2014-04,12.1,
2014-07,-1.0,
