"",BBFB1.Q.N.DE.IE.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:43,
1991-01,162.527,
1991-04,163.291,
1991-07,185.676,
1991-10,203.105,
1992-01,123.092,
1992-04,227.026,
1992-07,143.714,
1992-10,195.751,
1993-01,199.080,
1993-04,119.585,
1993-07,167.900,
1993-10,264.227,
1994-01,179.417,
1994-04,157.454,
1994-07,150.421,
1994-10,84.499,
1995-01,142.384,
1995-04,101.289,
1995-07,83.047,
1995-10,157.891,
1996-01,95.146,
1996-04,45.042,
1996-07,69.123,
1996-10,48.993,
1997-01,485.059,
1997-04,506.356,
1997-07,509.557,
1997-10,557.452,
1998-01,332.594,
1998-04,364.018,
1998-07,311.857,
1998-10,494.092,
1999-01,10.473,
1999-04,20.500,
1999-07,112.961,
1999-10,474.304,
2000-01,42.233,
2000-04,-40.805,
2000-07,151.533,
2000-10,286.131,
2001-01,67.283,
2001-04,48.176,
2001-07,69.564,
2001-10,23.754,
2002-01,-83.193,
2002-04,-85.038,
2002-07,-94.728,
2002-10,-137.161,
2003-01,-17.017,
2003-04,-53.157,
2003-07,-12.478,
2003-10,16.370,
2004-01,118.072,
2004-04,155.446,
2004-07,96.555,
2004-10,70.682,
2005-01,153.763,
2005-04,169.067,
2005-07,215.438,
2005-10,272.759,
2006-01,90.598,
2006-04,249.939,
2006-07,277.011,
2006-10,392.968,
2007-01,567.682,
2007-04,598.724,
2007-07,635.872,
2007-10,770.731,
2008-01,205.156,
2008-04,1048.133,
2008-07,1122.273,
2008-10,669.370,
2009-01,839.601,
2009-04,809.963,
2009-07,902.045,
2009-10,919.113,
2010-01,969.941,
2010-04,866.803,
2010-07,860.206,
2010-10,863.583,
2011-01,1110.248,
2011-04,673.084,
2011-07,1065.903,
2011-10,1114.161,
2012-01,1087.830,
2012-04,1109.112,
2012-07,1197.951,
2012-10,1261.747,
2013-01,1105.174,
2013-04,1068.428,
2013-07,1097.628,
2013-10,1147.861,
2014-01,1058.610,Provisional value
2014-04,1058.219,Provisional value
2014-07,1112.510,Provisional value
