"",BBK01.OELJ03V,BBK01.OELJ03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:37,
2002-01,0.398,
2002-04,0.401,
2002-07,0.398,
2002-10,0.405,
2003-01,0.390,
2003-04,0.382,
2003-07,0.366,
2003-10,0.387,
2004-01,0.355,
2004-04,0.243,
2004-07,0.331,
2004-10,0.355,
2005-01,0.329,
2005-04,0.326,
2005-07,0.336,
2005-10,0.340,
2006-01,0.338,
2006-04,0.371,
2006-07,0.366,
2006-10,0.394,
2007-01,0.396,
2007-04,0.404,
2007-07,0.416,
2007-10,0.434,
2008-01,0.453,
2008-04,0.473,
2008-07,0.647,
2008-10,0.600,
2009-01,0.558,
2009-04,0.468,
2009-07,0.442,
2009-10,0.466,
2010-01,0.459,
2010-04,0.416,
2010-07,0.424,
2010-10,0.442,
2011-01,0.445,
2011-04,0.484,
2011-07,0.558,
2011-10,0.450,
2012-01,0.387,
2012-04,0.391,
2012-07,0.354,
2012-10,0.355,
2013-01,0.348,
2013-04,0.285,
2013-07,0.266,
2013-10,0.259,
2014-01,0.346,
2014-04,0.322,
2014-07,0.330,
