"",BBK01.OECI07M,BBK01.OECI07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:01,
2002-01,1.459,
2002-04,1.188,
2002-07,1.166,
2002-10,1.314,
2003-01,1.304,
2003-04,1.238,
2003-07,1.380,
2003-10,1.354,
2004-01,1.289,
2004-04,1.260,
2004-07,1.554,
2004-10,1.871,
2005-01,5.248,
2005-04,5.228,
2005-07,5.154,
2005-10,5.125,
2006-01,5.061,
2006-04,4.984,
2006-07,4.898,
2006-10,4.888,
2007-01,5.010,
2007-04,4.913,
2007-07,4.750,
2007-10,4.801,
2008-01,4.722,
2008-04,4.894,
2008-07,4.733,
2008-10,4.783,
2009-01,4.899,
2009-04,5.206,
2009-07,5.659,
2009-10,5.705,
2010-01,5.812,
2010-04,5.770,
2010-07,5.789,
2010-10,5.828,
2011-01,5.787,
2011-04,5.640,
2011-07,5.606,
2011-10,5.555,
2012-01,5.999,
2012-04,5.929,
2012-07,5.848,
2012-10,5.813,
2013-01,5.644,
2013-04,5.549,
2013-07,5.360,
2013-10,5.307,
2014-01,5.229,
2014-04,5.087,
2014-07,5.210,
