"",BBK01.OEAA04N,BBK01.OEAA04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:02,
2002-01,1.245,
2002-04,1.199,
2002-07,1.147,
2002-10,1.080,
2003-01,1.007,
2003-04,1.019,
2003-07,1.021,
2003-10,0.860,
2004-01,0.809,
2004-04,0.759,
2004-07,0.744,
2004-10,0.651,
2005-01,0.597,
2005-04,0.521,
2005-07,0.557,
2005-10,0.529,
2006-01,0.505,
2006-04,0.503,
2006-07,0.498,
2006-10,0.482,
2007-01,0.423,
2007-04,0.389,
2007-07,0.332,
2007-10,0.340,
2008-01,0.319,
2008-04,0.286,
2008-07,0.270,
2008-10,0.270,
2009-01,0.263,
2009-04,0.234,
2009-07,0.206,
2009-10,0.212,
2010-01,0.205,
2010-04,0.192,
2010-07,0.183,
2010-10,0.224,
2011-01,0.179,
2011-04,0.176,
2011-07,0.171,
2011-10,0.196,
2012-01,0.167,
2012-04,0.151,
2012-07,0.182,
2012-10,0.201,
2013-01,0.167,
2013-04,0.155,
2013-07,0.133,
2013-10,0.164,
2014-01,0.152,
2014-04,0.156,
2014-07,0.151,
