"",BBK01.OEAB19J,BBK01.OEAB19J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:54,
2002-01,0.371,
2002-04,0.367,
2002-07,0.351,
2002-10,0.336,
2003-01,0.335,
2003-04,0.340,
2003-07,0.342,
2003-10,0.341,
2004-01,0.344,
2004-04,0.347,
2004-07,0.336,
2004-10,0.324,
2005-01,0.331,
2005-04,0.328,
2005-07,0.332,
2005-10,0.315,
2006-01,0.312,
2006-04,0.302,
2006-07,0.324,
2006-10,0.316,
2007-01,0.304,
2007-04,0.304,
2007-07,0.296,
2007-10,0.293,
2008-01,0.283,
2008-04,0.284,
2008-07,0.268,
2008-10,0.268,
2009-01,0.270,
2009-04,0.271,
2009-07,0.254,
2009-10,0.257,
2010-01,0.252,
2010-04,0.265,
2010-07,0.266,
2010-10,0.279,
2011-01,0.269,
2011-04,0.260,
2011-07,0.259,
2011-10,0.246,
2012-01,0.241,
2012-04,0.236,
2012-07,0.208,
2012-10,0.205,
2013-01,0.201,
2013-04,0.196,
2013-07,0.194,
2013-10,0.187,
2014-01,0.180,
2014-04,0.176,
2014-07,0.165,
