"",BBFB1.Q.N.DE.1A.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:59,
1991-01,234.684,
1991-04,324.675,
1991-07,345.690,
1991-10,289.083,
1992-01,369.038,
1992-04,295.742,
1992-07,183.286,
1992-10,62.719,
1993-01,113.692,
1993-04,77.344,
1993-07,51.658,
1993-10,36.991,
1994-01,88.564,
1994-04,29.392,
1994-07,79.286,
1994-10,25.036,
1995-01,7.279,
1995-04,-32.048,
1995-07,58.192,
1995-10,24.985,
1996-01,36.031,
1996-04,20.138,
1996-07,86.008,
1996-10,43.875,
1997-01,46.799,
1997-04,0.724,
1997-07,17.413,
1997-10,81.561,
1998-01,162.292,
1998-04,152.195,
1998-07,155.772,
1998-10,266.184,
1999-01,199.846,
1999-04,149.675,
1999-07,120.022,
1999-10,254.648,
2000-01,61.952,
2000-04,76.164,
2000-07,8.059,
2000-10,6.275,
2001-01,82.320,
2001-04,249.197,
2001-07,227.321,
2001-10,275.900,
2002-01,219.170,
2002-04,261.605,
2002-07,91.344,
2002-10,-23.963,
2003-01,3.880,
2003-04,-115.912,
2003-07,-100.727,
2003-10,-9.591,
2004-01,1.049,
2004-04,14.661,
2004-07,51.339,
2004-10,24.726,
2005-01,0.701,
2005-04,-1.776,
2005-07,56.275,
2005-10,103.459,
2006-01,95.325,
2006-04,49.388,
2006-07,32.813,
2006-10,-40.007,
2007-01,33.883,
2007-04,-104.264,
2007-07,-119.122,
2007-10,-161.169,
2008-01,-348.876,
2008-04,-178.794,
2008-07,-64.205,
2008-10,60.290,
2009-01,194.198,
2009-04,212.784,
2009-07,229.985,
2009-10,233.097,
2010-01,178.095,
2010-04,195.361,
2010-07,223.436,
2010-10,225.438,
2011-01,236.632,
2011-04,223.304,
2011-07,210.357,
2011-10,196.558,
2012-01,184.859,
2012-04,193.008,
2012-07,207.054,
2012-10,231.079,
2013-01,233.356,
2013-04,232.796,
2013-07,233.452,
2013-10,228.517,
2014-01,224.981,Provisional value
2014-04,224.031,Provisional value
2014-07,235.377,Provisional value
