"",BBK01.OEXM04T,BBK01.OEXM04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:53,
2002-01,0.182,
2002-04,0.167,
2002-07,0.194,
2002-10,0.125,
2003-01,0.123,
2003-04,0.123,
2003-07,0.102,
2003-10,0.093,
2004-01,0.104,
2004-04,0.044,
2004-07,0.045,
2004-10,0.052,
2005-01,0.049,
2005-04,0.068,
2005-07,0.071,
2005-10,0.080,
2006-01,0.103,
2006-04,0.187,
2006-07,0.222,
2006-10,0.218,
2007-01,0.242,
2007-04,0.269,
2007-07,0.281,
2007-10,0.258,
2008-01,0.243,
2008-04,0.272,
2008-07,0.241,
2008-10,0.207,
2009-01,0.064,
2009-04,0.029,
2009-07,0.006,
2009-10,0.001,
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,0.001,
2010-10,0.001,
2011-01,0.008,
2011-04,0.020,
2011-07,0.022,
2011-10,0.132,
2012-01,0.181,
2012-04,0.273,
2012-07,0.279,
2012-10,0.299,
2013-01,0.298,
2013-04,0.301,
2013-07,0.294,
2013-10,0.230,
2014-01,0.332,
2014-04,0.278,
2014-07,0.259,
