"",BBK01.BJ2919,BBK01.BJ2919_FLAGS
"","Central, state and local government - budgetary accounts (Germany as a whole) - expenditure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:02,
1991,473371,
1992,518403,
1993,542051,
1994,563521,
1995,581050,
1996,573562,
1997,566955,
1998,577141,
1999,592947,
2000,595470,
2001,599605,
2002,610444,
2003,614209,
2004,610721,
2005,620747,
2006,625950,
2007,644020,
2008,674871,
2009,713102,
2010,713570,
2011,711609,
2012,765400,Provisional value
2013,771000,Provisional value
"",General: For Germany as a whole (excluding hospitals with commercial accounting practices),
