"",BBK01.OEYL03H,BBK01.OEYL03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:07,
2002-01,10.574,
2002-04,9.184,
2002-07,9.173,
2002-10,9.465,
2003-01,9.579,
2003-04,9.500,
2003-07,9.419,
2003-10,9.724,
2004-01,9.821,
2004-04,9.882,
2004-07,9.917,
2004-10,10.379,
2005-01,10.390,
2005-04,10.430,
2005-07,10.460,
2005-10,10.799,
2006-01,10.968,
2006-04,10.998,
2006-07,11.035,
2006-10,11.322,
2007-01,11.452,
2007-04,11.476,
2007-07,11.556,
2007-10,11.960,
2008-01,12.144,
2008-04,12.231,
2008-07,12.312,
2008-10,12.291,
2009-01,12.198,
2009-04,12.129,
2009-07,12.196,
2009-10,12.614,
2010-01,10.889,
2010-04,11.270,
2010-07,11.397,
2010-10,11.548,
2011-01,11.616,
2011-04,11.426,
2011-07,11.467,
2011-10,11.675,
2012-01,11.677,
2012-04,11.723,
2012-07,11.843,
2012-10,11.138,
2013-01,11.310,
2013-04,11.401,
2013-07,11.576,
2013-10,11.953,
2014-01,12.587,
2014-04,12.976,
2014-07,13.123,
