"",BBK01.OEXB17L,BBK01.OEXB17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:40,
2002-01,11.697,
2002-04,11.868,
2002-07,12.234,
2002-10,12.473,
2003-01,13.605,
2003-04,14.056,
2003-07,14.516,
2003-10,15.417,
2004-01,16.450,
2004-04,18.193,
2004-07,19.496,
2004-10,20.892,
2005-01,21.433,
2005-04,23.210,
2005-07,25.832,
2005-10,29.466,
2006-01,31.740,
2006-04,35.078,
2006-07,37.651,
2006-10,40.065,
2007-01,41.490,
2007-04,43.187,
2007-07,44.887,
2007-10,50.087,
2008-01,51.414,
2008-04,51.733,
2008-07,52.135,
2008-10,52.471,
2009-01,53.732,
2009-04,54.965,
2009-07,56.967,
2009-10,58.990,
2010-01,59.597,
2010-04,60.798,
2010-07,61.805,
2010-10,63.159,
2011-01,64.247,
2011-04,65.476,
2011-07,67.251,
2011-10,68.736,
2012-01,68.622,
2012-04,69.592,
2012-07,71.434,
2012-10,72.227,
2013-01,72.393,
2013-04,72.954,
2013-07,74.064,
2013-10,74.750,
2014-01,74.979,
2014-04,75.898,
2014-07,76.462,
