"",BBK01.OEYK03G,BBK01.OEYK03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:59,
2002-01,0.435,
2002-04,0.425,
2002-07,0.433,
2002-10,0.428,
2003-01,0.422,
2003-04,0.392,
2003-07,0.328,
2003-10,0.314,
2004-01,0.310,
2004-04,0.325,
2004-07,0.329,
2004-10,0.333,
2005-01,0.220,
2005-04,0.212,
2005-07,0.368,
2005-10,0.368,
2006-01,0.351,
2006-04,0.371,
2006-07,0.415,
2006-10,0.424,
2007-01,0.473,
2007-04,0.531,
2007-07,0.721,
2007-10,0.956,
2008-01,1.043,
2008-04,1.147,
2008-07,1.172,
2008-10,1.114,
2009-01,0.602,
2009-04,0.506,
2009-07,0.281,
2009-10,0.157,
2010-01,0.108,
2010-04,0.086,
2010-07,0.111,
2010-10,0.119,
2011-01,0.125,
2011-04,0.125,
2011-07,0.140,
2011-10,0.122,
2012-01,0.109,
2012-04,0.083,
2012-07,0.086,
2012-10,0.066,
2013-01,0.076,
2013-04,0.068,
2013-07,0.074,
2013-10,0.064,
2014-01,0.069,
2014-04,0.060,
2014-07,0.060,
