"",BBK01.OEAD18N,BBK01.OEAD18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:30,
2002-01,2.112,
2002-04,2.038,
2002-07,2.062,
2002-10,1.825,
2003-01,1.962,
2003-04,1.958,
2003-07,1.827,
2003-10,1.612,
2004-01,1.576,
2004-04,1.634,
2004-07,1.528,
2004-10,1.348,
2005-01,1.519,
2005-04,1.356,
2005-07,1.295,
2005-10,1.150,
2006-01,1.225,
2006-04,1.290,
2006-07,1.481,
2006-10,1.249,
2007-01,1.457,
2007-04,1.405,
2007-07,1.281,
2007-10,1.268,
2008-01,1.253,
2008-04,1.321,
2008-07,1.459,
2008-10,1.143,
2009-01,1.152,
2009-04,1.087,
2009-07,1.048,
2009-10,0.901,
2010-01,0.975,
2010-04,0.922,
2010-07,0.941,
2010-10,0.840,
2011-01,0.898,
2011-04,0.936,
2011-07,0.917,
2011-10,0.791,
2012-01,0.914,
2012-04,0.826,
2012-07,0.816,
2012-10,0.777,
2013-01,0.866,
2013-04,0.823,
2013-07,0.732,
2013-10,0.746,
2014-01,0.771,
2014-04,0.796,
2014-07,0.814,
