"",BBFB1.Q.N.DE.NL.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:12,
1991-01,1040.381,
1991-04,1163.175,
1991-07,1146.799,
1991-10,1063.798,
1992-01,1478.799,
1992-04,1311.329,
1992-07,1341.685,
1992-10,1565.336,
1993-01,1684.341,
1993-04,1496.500,
1993-07,1515.416,
1993-10,1316.298,
1994-01,1837.875,
1994-04,1449.828,
1994-07,1757.629,
1994-10,1505.953,
1995-01,1758.401,
1995-04,1827.777,
1995-07,1649.705,
1995-10,1990.651,
1996-01,1572.208,
1996-04,1941.374,
1996-07,3402.893,
1996-10,1822.042,
1997-01,2498.159,
1997-04,2425.271,
1997-07,2433.531,
1997-10,2701.297,
1998-01,2364.575,
1998-04,2631.058,
1998-07,2308.273,
1998-10,2998.351,
1999-01,2057.015,
1999-04,2404.125,
1999-07,2458.235,
1999-10,3783.494,
2000-01,2162.288,
2000-04,3121.728,
2000-07,3515.062,
2000-10,3683.394,
2001-01,3663.577,
2001-04,3876.151,
2001-07,3802.663,
2001-10,3866.300,
2002-01,3759.439,
2002-04,3936.695,
2002-07,4101.122,
2002-10,3704.531,
2003-01,3662.637,
2003-04,3744.240,
2003-07,3852.430,
2003-10,4050.668,
2004-01,3707.661,
2004-04,3494.041,
2004-07,3316.054,
2004-10,3253.019,
2005-01,3399.489,
2005-04,3418.512,
2005-07,3321.288,
2005-10,3404.477,
2006-01,4119.786,
2006-04,4418.338,
2006-07,4389.059,
2006-10,4784.398,
2007-01,4053.796,
2007-04,4243.284,
2007-07,3927.991,
2007-10,3522.950,
2008-01,930.502,
2008-04,4294.511,
2008-07,4727.664,
2008-10,3164.000,
2009-01,2801.662,
2009-04,3272.475,
2009-07,3018.727,
2009-10,3199.433,
2010-01,3412.843,
2010-04,3816.609,
2010-07,3805.415,
2010-10,4038.768,
2011-01,4142.420,
2011-04,4018.201,
2011-07,3783.995,
2011-10,3771.730,
2012-01,3888.425,
2012-04,4022.091,
2012-07,4009.523,
2012-10,4035.232,
2013-01,3637.803,
2013-04,3817.938,
2013-07,3650.501,
2013-10,3557.215,
2014-01,3541.739,Provisional value
2014-04,3783.529,Provisional value
2014-07,3635.488,Provisional value
