"",BBFN1.M.DE.N.1.A.PT.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.PT.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Portugal,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:16,
1994-12,2.096,
1995-01,2.689,
1995-02,2.968,
1995-03,3.212,
1995-04,3.116,
1995-05,3.263,
1995-06,3.078,
1995-07,3.165,
1995-08,3.102,
1995-09,3.416,
1995-10,3.655,
1995-11,3.968,
1995-12,2.322,
1996-01,3.611,
1996-02,3.786,
1996-03,3.952,
1996-04,3.676,
1996-05,3.726,
1996-06,3.821,
1996-07,3.897,
1996-08,3.666,
1996-09,3.656,
1996-10,3.670,
1996-11,3.561,
1996-12,1.935,
1997-01,2.689,
1997-02,2.845,
1997-03,2.711,
1997-04,2.862,
1997-05,2.972,
1997-06,2.905,
1997-07,3.219,
1997-08,3.279,
1997-09,3.581,
1997-10,4.351,
1997-11,4.260,
1997-12,2.942,
1998-01,3.927,
1998-02,4.112,
1998-03,4.648,
1998-04,4.611,
1998-05,4.261,
1998-06,3.958,
1998-07,4.283,
1998-08,3.984,
1998-09,4.305,
1998-10,4.801,
1998-11,4.516,
1998-12,2.448,
1999-01,3.019,
1999-02,3.285,
1999-03,3.929,
1999-04,4.359,
1999-05,4.836,
1999-06,4.571,
1999-07,4.437,
1999-08,4.220,
1999-09,4.116,
1999-10,4.251,
1999-11,4.187,
1999-12,2.663,
2000-01,2.783,
2000-02,3.339,
2000-03,3.452,
2000-04,3.756,
2000-05,3.918,
2000-06,3.903,
2000-07,3.681,
2000-08,3.804,
2000-09,3.547,
2000-10,4.143,
2000-11,4.491,
2000-12,3.410,
2001-01,4.093,
2001-02,5.697,
2001-03,7.323,
2001-04,5.351,
2001-05,6.057,
2001-06,6.089,
2001-07,7.208,
2001-08,6.163,
2001-09,5.659,
2001-10,5.952,
2001-11,6.058,
2001-12,4.603,
2002-01,5.696,
2002-02,8.838,
2002-03,8.725,
2002-04,9.180,
2002-05,11.889,
2002-06,11.595,
2002-07,10.498,
2002-08,10.657,
2002-09,10.246,
2002-10,9.765,
2002-11,8.066,
2002-12,4.945,
2003-01,7.042,
2003-02,6.549,
2003-03,6.564,
2003-04,6.778,
2003-05,7.598,
2003-06,8.719,
2003-07,8.748,
2003-08,8.551,
2003-09,8.407,
2003-10,8.172,
2003-11,8.807,
2003-12,7.588,
2004-01,8.595,
2004-02,8.355,
2004-03,8.079,
2004-04,8.221,
2004-05,7.964,
2004-06,8.231,
2004-07,8.990,
2004-08,8.333,
2004-09,8.980,
2004-10,8.376,
2004-11,9.107,
2004-12,9.861,
2005-01,9.530,
2005-02,9.608,
2005-03,10.213,
2005-04,9.740,
2005-05,9.935,
2005-06,8.339,
2005-07,9.470,
2005-08,10.876,
2005-09,11.830,
2005-10,11.425,
2005-11,11.075,
2005-12,8.468,
2006-01,10.593,
2006-02,11.314,
2006-03,12.125,
2006-04,10.202,
2006-05,12.803,
2006-06,7.792,
2006-07,7.700,
2006-08,8.727,
2006-09,7.075,
2006-10,8.313,
2006-11,8.783,
2006-12,8.243,
2007-01,8.817,
2007-02,10.178,
2007-03,9.670,
2007-04,10.577,
2007-05,10.950,
2007-06,11.458,
2007-07,11.902,
2007-08,12.442,
2007-09,11.024,
2007-10,11.829,
2007-11,11.442,
2007-12,12.064,
2008-01,11.594,
2008-02,11.982,
2008-03,11.753,
2008-04,9.662,
2008-05,9.942,
2008-06,9.758,
2008-07,9.735,
2008-08,9.683,
2008-09,8.955,
2008-10,7.045,
2008-11,7.034,
2008-12,5.939,
2009-01,5.464,
2009-02,5.536,
2009-03,5.101,
2009-04,4.988,
2009-05,5.156,
2009-06,5.193,
2009-07,5.108,
2009-08,4.980,
2009-09,5.860,
2009-10,5.466,
2009-11,5.300,
2009-12,5.213,
2010-01,5.186,
2010-02,4.751,
2010-03,5.354,
2010-04,5.364,
2010-05,4.730,
2010-06,5.219,
2010-07,4.344,
2010-08,4.220,
2010-09,4.333,
2010-10,4.349,
2010-11,4.461,
2010-12,4.333,
2011-01,4.306,
2011-02,4.289,
2011-03,4.033,
2011-04,4.046,
2011-05,4.017,
2011-06,3.881,
2011-07,3.741,
2011-08,3.588,
2011-09,3.392,
2011-10,3.286,
2011-11,2.988,
2011-12,2.412,
2012-01,2.448,
2012-02,2.320,
2012-03,2.350,
2012-04,2.286,
2012-05,2.318,
2012-06,2.418,
2012-07,2.359,
2012-08,2.297,
2012-09,2.323,
2012-10,2.360,
2012-11,2.322,
2012-12,2.174,
2013-01,2.274,
2013-02,2.411,
2013-03,2.498,
2013-04,2.454,
2013-05,2.492,
2013-06,2.592,
2013-07,2.497,
2013-08,2.432,
2013-09,2.429,
2013-10,2.467,
2013-11,2.619,
2013-12,2.417,
2014-01,2.275,
2014-02,2.249,
2014-03,2.322,
2014-04,2.296,
2014-05,2.305,
2014-06,2.342,
2014-07,2.271,
2014-08,2.167,
2014-09,2.182,
2014-10,2.210,
2014-11,2.121,
2014-12,2.036,
