"",BBK01.OEXL03P,BBK01.OEXL03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:02,
2002-01,0.095,
2002-04,0.087,
2002-07,0.087,
2002-10,0.084,
2003-01,0.081,
2003-04,0.067,
2003-07,0.047,
2003-10,0.047,
2004-01,0.046,
2004-04,0.042,
2004-07,0.040,
2004-10,0.038,
2005-01,0.035,
2005-04,0.036,
2005-07,0.032,
2005-10,0.033,
2006-01,0.034,
2006-04,0.034,
2006-07,0.043,
2006-10,0.057,
2007-01,0.061,
2007-04,0.062,
2007-07,0.071,
2007-10,0.098,
2008-01,0.098,
2008-04,0.112,
2008-07,0.121,
2008-10,0.162,
2009-01,0.144,
2009-04,0.120,
2009-07,0.084,
2009-10,0.055,
2010-01,0.043,
2010-04,0.051,
2010-07,0.042,
2010-10,0.039,
2011-01,0.047,
2011-04,0.047,
2011-07,0.049,
2011-10,0.106,
2012-01,0.173,
2012-04,0.180,
2012-07,0.171,
2012-10,0.128,
2013-01,0.099,
2013-04,0.088,
2013-07,0.076,
2013-10,0.066,
2014-01,0.051,
2014-04,0.043,
2014-07,0.040,
