"",BBK01.OELL03P,BBK01.OELL03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:55,
2002-01,0.541,
2002-04,0.508,
2002-07,0.482,
2002-10,0.490,
2003-01,0.486,
2003-04,0.444,
2003-07,0.445,
2003-10,0.442,
2004-01,0.437,
2004-04,0.426,
2004-07,0.426,
2004-10,0.411,
2005-01,0.419,
2005-04,0.427,
2005-07,0.422,
2005-10,0.437,
2006-01,0.435,
2006-04,0.430,
2006-07,0.430,
2006-10,0.430,
2007-01,0.489,
2007-04,0.521,
2007-07,0.549,
2007-10,0.599,
2008-01,0.663,
2008-04,0.694,
2008-07,0.799,
2008-10,0.970,
2009-01,0.862,
2009-04,0.739,
2009-07,0.577,
2009-10,0.505,
2010-01,0.409,
2010-04,0.376,
2010-07,0.348,
2010-10,0.356,
2011-01,0.359,
2011-04,0.369,
2011-07,0.383,
2011-10,0.407,
2012-01,0.376,
2012-04,0.356,
2012-07,0.309,
2012-10,0.284,
2013-01,0.234,
2013-04,0.218,
2013-07,0.209,
2013-10,0.230,
2014-01,0.201,
2014-04,0.198,
2014-07,0.207,
