"",BBK01.OEAP03V,BBK01.OEAP03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:17:07,
2002-01,6.502,
2002-04,5.822,
2002-07,5.359,
2002-10,4.751,
2003-01,4.779,
2003-04,4.799,
2003-07,4.668,
2003-10,3.791,
2004-01,4.179,
2004-04,3.728,
2004-07,3.043,
2004-10,2.915,
2005-01,2.551,
2005-04,2.834,
2005-07,2.604,
2005-10,2.216,
2006-01,2.019,
2006-04,2.220,
2006-07,1.966,
2006-10,1.553,
2007-01,1.301,
2007-04,1.318,
2007-07,1.287,
2007-10,1.021,
2008-01,1.142,
2008-04,1.275,
2008-07,0.960,
2008-10,0.796,
2009-01,0.748,
2009-04,0.762,
2009-07,0.796,
2009-10,0.534,
2010-01,0.583,
2010-04,0.491,
2010-07,0.363,
2010-10,0.347,
2011-01,0.545,
2011-04,0.337,
2011-07,0.401,
2011-10,0.409,
2012-01,0.382,
2012-04,0.521,
2012-07,0.377,
2012-10,0.251,
2013-01,0.336,
2013-04,0.271,
2013-07,0.278,
2013-10,0.256,
2014-01,0.213,
2014-04,0.281,
2014-07,0.230,
