"",BBFN1.M.DE.N.1.A.AU.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AU.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:32,
1994-07,0.629,
1994-08,0.696,
1994-09,0.695,
1994-10,0.742,
1994-11,0.759,
1994-12,0.779,
1995-01,0.748,
1995-02,0.759,
1995-03,0.746,
1995-04,0.774,
1995-05,0.813,
1995-06,0.750,
1995-07,0.851,
1995-08,0.822,
1995-09,0.825,
1995-10,0.813,
1995-11,0.812,
1995-12,0.816,
1996-01,0.751,
1996-02,0.746,
1996-03,0.773,
1996-04,0.784,
1996-05,0.786,
1996-06,0.776,
1996-07,0.779,
1996-08,0.786,
1996-09,0.802,
1996-10,0.814,
1996-11,0.806,
1996-12,0.811,
1997-01,0.796,
1997-02,0.742,
1997-03,0.773,
1997-04,0.738,
1997-05,0.726,
1997-06,0.786,
1997-07,0.785,
1997-08,0.791,
1997-09,0.829,
1997-10,0.816,
1997-11,0.820,
1997-12,0.811,
1998-01,0.803,
1998-02,0.823,
1998-03,0.874,
1998-04,0.872,
1998-05,0.882,
1998-06,0.862,
1998-07,0.879,
1998-08,0.820,
1998-09,0.833,
1998-10,0.825,
1998-11,0.835,
1998-12,0.831,
1999-01,0.820,
1999-02,0.807,
1999-03,0.839,
1999-04,0.867,
1999-05,0.892,
1999-06,0.871,
1999-07,0.923,
1999-08,0.899,
1999-09,0.925,
1999-10,0.975,
1999-11,0.955,
1999-12,0.915,
2000-01,0.910,
2000-02,0.891,
2000-03,0.915,
2000-04,0.962,
2000-05,0.992,
2000-06,0.971,
2000-07,0.989,
2000-08,1.026,
2000-09,1.053,
2000-10,1.090,
2000-11,1.088,
2000-12,1.065,
2001-01,1.058,
2001-02,1.121,
2001-03,1.079,
2001-04,1.118,
2001-05,1.164,
2001-06,1.098,
2001-07,1.097,
2001-08,1.041,
2001-09,1.098,
2001-10,1.115,
2001-11,1.155,
2001-12,1.133,
2002-01,1.111,
2002-02,1.042,
2002-03,1.036,
2002-04,1.070,
2002-05,1.096,
2002-06,1.150,
2002-07,1.200,
2002-08,1.158,
2002-09,1.190,
2002-10,1.173,
2002-11,1.194,
2002-12,1.242,
2003-01,1.214,
2003-02,1.201,
2003-03,1.240,
2003-04,1.245,
2003-05,1.240,
2003-06,1.222,
2003-07,1.263,
2003-08,1.236,
2003-09,1.120,
2003-10,1.132,
2003-11,1.121,
2003-12,1.145,
2004-01,1.108,
2004-02,1.110,
2004-03,1.332,
2004-04,1.281,
2004-05,1.106,
2004-06,1.143,
2004-07,1.112,
2004-08,1.068,
2004-09,1.093,
2004-10,1.091,
2004-11,1.128,
2004-12,1.163,
2005-01,1.126,
2005-02,1.188,
2005-03,1.231,
2005-04,1.214,
2005-05,1.209,
2005-06,1.181,
2005-07,1.198,
2005-08,1.173,
2005-09,1.183,
2005-10,1.133,
2005-11,1.191,
2005-12,1.229,
2006-01,1.202,
2006-02,1.257,
2006-03,1.235,
2006-04,1.232,
2006-05,1.210,
2006-06,1.248,
2006-07,1.223,
2006-08,1.234,
2006-09,1.228,
2006-10,1.206,
2006-11,1.257,
2006-12,1.210,
2007-01,1.188,
2007-02,1.201,
2007-03,1.189,
2007-04,1.185,
2007-05,1.205,
2007-06,1.248,
2007-07,1.257,
2007-08,1.312,
2007-09,1.328,
2007-10,1.331,
2007-11,1.307,
2007-12,1.253,
2008-01,1.227,
2008-02,1.249,
2008-03,1.297,
2008-04,1.388,
2008-05,1.381,
2008-06,1.394,
2008-07,1.390,
2008-08,1.373,
2008-09,1.406,
2008-10,1.377,
2008-11,1.388,
2008-12,1.382,
2009-01,1.247,
2009-02,1.170,
2009-03,1.203,
2009-04,1.168,
2009-05,1.201,
2009-06,1.254,
2009-07,1.194,
2009-08,1.189,
2009-09,1.218,
2009-10,1.252,
2009-11,1.253,
2009-12,1.260,
2010-01,1.156,
2010-02,1.183,
2010-03,1.252,
2010-04,1.284,
2010-05,1.289,
2010-06,1.291,
2010-07,1.327,
2010-08,1.262,
2010-09,1.375,
2010-10,1.379,
2010-11,1.362,
2010-12,1.395,
2011-01,1.341,
2011-02,1.333,
2011-03,1.449,
2011-04,1.519,
2011-05,1.569,
2011-06,1.666,
2011-07,1.553,
2011-08,1.535,
2011-09,1.636,
2011-10,1.563,
2011-11,1.597,
2011-12,1.529,
2012-01,1.454,
2012-02,1.445,
2012-03,1.503,
2012-04,1.598,
2012-05,1.595,
2012-06,1.755,
2012-07,1.673,
2012-08,1.680,
2012-09,1.706,
2012-10,1.725,
2012-11,1.779,
2012-12,1.756,
2013-01,1.694,
2013-02,1.703,
2013-03,1.785,
2013-04,1.859,
2013-05,1.690,
2013-06,1.715,
2013-07,1.667,
2013-08,1.631,
2013-09,1.561,
2013-10,1.561,
2013-11,1.576,
2013-12,1.563,
2014-01,1.444,
2014-02,1.465,
2014-03,1.443,
2014-04,1.457,
2014-05,1.436,
2014-06,1.473,
2014-07,1.484,
2014-08,1.528,
2014-09,1.469,
2014-10,1.521,
2014-11,1.493,
2014-12,1.528,
