"",BBK01.OEAD30H,BBK01.OEAD30H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:54,
2002-01,0.385,
2002-04,0.373,
2002-07,0.422,
2002-10,0.370,
2003-01,0.362,
2003-04,0.370,
2003-07,0.368,
2003-10,0.367,
2004-01,0.382,
2004-04,0.372,
2004-07,0.337,
2004-10,0.337,
2005-01,0.344,
2005-04,0.332,
2005-07,0.326,
2005-10,0.328,
2006-01,0.333,
2006-04,0.340,
2006-07,0.351,
2006-10,0.346,
2007-01,0.328,
2007-04,0.338,
2007-07,0.344,
2007-10,0.330,
2008-01,0.312,
2008-04,0.320,
2008-07,0.315,
2008-10,0.344,
2009-01,0.428,
2009-04,0.376,
2009-07,0.371,
2009-10,0.374,
2010-01,0.390,
2010-04,0.437,
2010-07,0.438,
2010-10,0.441,
2011-01,0.423,
2011-04,0.436,
2011-07,0.477,
2011-10,0.460,
2012-01,0.440,
2012-04,0.449,
2012-07,0.444,
2012-10,0.445,
2013-01,0.427,
2013-04,0.435,
2013-07,0.431,
2013-10,0.454,
2014-01,0.437,
2014-04,0.468,
2014-07,0.456,
