"",BBK01.OEAE35K,BBK01.OEAE35K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:03,
2002-01,0.530,
2002-04,0.492,
2002-07,0.481,
2002-10,0.484,
2003-01,0.544,
2003-04,0.519,
2003-07,0.471,
2003-10,0.475,
2004-01,0.456,
2004-04,0.224,
2004-07,0.218,
2004-10,0.232,
2005-01,0.232,
2005-04,0.232,
2005-07,0.249,
2005-10,0.241,
2006-01,0.247,
2006-04,0.268,
2006-07,0.274,
2006-10,0.250,
2007-01,0.240,
2007-04,0.232,
2007-07,0.254,
2007-10,0.248,
2008-01,0.384,
2008-04,0.453,
2008-07,0.442,
2008-10,0.446,
2009-01,0.398,
2009-04,0.537,
2009-07,0.460,
2009-10,0.452,
2010-01,0.435,
2010-04,0.454,
2010-07,0.292,
2010-10,0.243,
2011-01,0.235,
2011-04,0.238,
2011-07,0.265,
2011-10,0.250,
2012-01,0.249,
2012-04,0.253,
2012-07,0.252,
2012-10,0.248,
2013-01,0.261,
2013-04,0.291,
2013-07,0.268,
2013-10,0.262,
2014-01,0.253,
2014-04,0.302,
2014-07,0.314,
