"",BBK01.OEAD38S,BBK01.OEAD38S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:04,
2002-01,0.145,
2002-04,0.142,
2002-07,0.144,
2002-10,0.136,
2003-01,0.132,
2003-04,0.131,
2003-07,0.128,
2003-10,0.119,
2004-01,0.113,
2004-04,0.113,
2004-07,0.109,
2004-10,0.099,
2005-01,0.099,
2005-04,0.105,
2005-07,0.101,
2005-10,0.097,
2006-01,0.098,
2006-04,0.098,
2006-07,0.097,
2006-10,0.115,
2007-01,0.107,
2007-04,0.101,
2007-07,0.099,
2007-10,0.096,
2008-01,0.099,
2008-04,0.097,
2008-07,0.101,
2008-10,0.103,
2009-01,0.090,
2009-04,0.090,
2009-07,0.094,
2009-10,0.091,
2010-01,0.090,
2010-04,0.089,
2010-07,0.088,
2010-10,0.091,
2011-01,0.086,
2011-04,0.078,
2011-07,0.077,
2011-10,0.081,
2012-01,0.080,
2012-04,0.080,
2012-07,0.067,
2012-10,0.066,
2013-01,0.071,
2013-04,0.067,
2013-07,0.067,
2013-10,0.068,
2014-01,0.069,
2014-04,0.074,
2014-07,0.072,
