"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.BN00.EUR.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:15,
1971-12,4.311,
1972-01,4.277,
1972-02,4.496,
1972-03,4.541,
1972-04,4.632,
1972-05,4.650,
1972-06,4.634,
1972-07,4.487,
1972-08,4.526,
1972-09,4.500,
1972-10,4.490,
1972-11,4.736,
1972-12,4.778,
1973-01,4.810,
1973-02,4.843,
1973-03,4.856,
1973-04,4.876,
1973-05,4.935,
1973-06,4.957,
1973-07,4.975,
1973-08,5.008,
1973-09,4.967,
1973-10,5.048,
1973-11,5.062,
1973-12,4.944,
1974-01,4.984,
1974-02,4.984,
1974-03,5.006,
1974-04,5.063,
1974-05,5.115,
1974-06,5.077,
1974-07,5.122,
1974-08,5.089,
1974-09,5.130,
1974-10,5.351,
1974-11,5.351,
1974-12,5.170,
1975-01,5.356,
1975-02,5.362,
1975-03,5.466,
1975-04,5.512,
1975-05,5.470,
1975-06,5.456,
1975-07,5.610,
1975-08,5.580,
1975-09,5.521,
1975-10,5.463,
1975-11,5.391,
1975-12,5.515,
1976-01,5.562,
1976-02,5.476,
1976-03,5.479,
1976-04,5.451,
1976-05,5.442,
1976-06,5.475,
1976-07,5.553,
1976-08,5.597,
1976-09,5.660,
1976-10,5.627,
1976-11,5.592,
1976-12,5.603,
1977-01,5.721,
1977-02,5.746,
1977-03,5.974,
1977-04,5.992,
1977-05,6.000,
1977-06,6.086,
1977-07,6.174,
1977-08,6.228,
1977-09,6.183,
1977-10,6.230,
1977-11,6.274,
1977-12,6.385,
1978-01,6.396,
1978-02,6.523,
1978-03,6.496,
1978-04,6.527,
1978-05,6.485,
1978-06,6.461,
1978-07,6.522,
1978-08,6.615,
1978-09,6.602,
1978-10,6.628,
1978-11,6.535,
1978-12,6.746,
1979-01,6.761,
1979-02,6.837,
1979-03,6.789,
1979-04,6.863,
1979-05,6.846,
1979-06,6.840,
1979-07,6.809,
1979-08,6.795,
1979-09,6.832,
1979-10,6.625,
1979-11,6.727,
1979-12,6.823,
1980-01,6.891,
1980-02,6.937,
1980-03,6.884,
1980-04,6.913,
1980-05,7.030,
1980-06,7.017,
1980-07,7.091,
1980-08,6.918,
1980-09,7.048,
1980-10,7.404,
1980-11,7.657,
1980-12,8.136,
1981-01,8.480,
1981-02,8.353,
1981-03,8.411,
1981-04,8.553,
1981-05,8.653,
1981-06,9.397,
1981-07,9.550,
1981-08,9.799,
1981-09,9.907,
1981-10,10.293,
1981-11,9.406,
1981-12,9.735,
1982-01,9.813,
1982-02,9.944,
1982-03,10.067,
1982-04,10.297,
1982-05,10.346,
1982-06,10.613,
1982-07,10.721,
1982-08,10.914,
1982-09,10.947,
1982-10,10.840,
1982-11,11.078,
1982-12,11.436,
1983-01,11.348,
1983-02,11.270,
1983-03,11.254,
1983-04,11.193,
1983-05,11.499,
1983-06,11.595,
1983-07,11.574,
1983-08,11.564,
1983-09,11.548,
1983-10,11.345,
1983-11,11.385,
1983-12,11.486,
1984-01,11.568,
1984-02,11.800,
1984-03,11.922,
1984-04,11.833,
1984-05,11.761,
1984-06,11.740,
1984-07,11.854,
1984-08,11.877,
1984-09,11.998,
1984-10,11.755,
1984-11,11.877,
1984-12,11.844,
1985-01,11.922,
1985-02,12.423,
1985-03,12.424,
1985-04,12.479,
1985-05,12.273,
1985-06,12.387,
1985-07,12.376,
1985-08,12.439,
1985-09,12.503,
1985-10,12.649,
1985-11,12.741,
1985-12,12.383,
1986-01,12.642,
1986-02,12.836,
1986-03,13.048,
1986-04,13.559,
1986-05,13.735,
1986-06,13.939,
1986-07,14.254,
1986-08,14.433,
1986-09,14.199,
1986-10,14.202,
1986-11,14.183,
1986-12,14.021,
1987-01,14.436,
1987-02,14.756,
1987-03,15.060,
1987-04,15.162,
1987-05,15.200,
1987-06,15.736,
1987-07,15.866,
1987-08,15.911,
1987-09,16.018,
1987-10,16.048,
1987-11,16.188,
1987-12,16.303,
1988-01,16.480,
1988-02,16.646,
1988-03,16.869,
1988-04,17.759,
1988-05,18.088,
1988-06,18.415,
1988-07,18.500,
1988-08,18.543,
1988-09,19.036,
1988-10,18.885,
1988-11,19.133,
1988-12,20.261,
1989-01,20.731,
1989-02,20.748,
1989-03,20.817,
1989-04,22.096,
1989-05,22.212,
1989-06,22.568,
1989-07,22.849,
1989-08,22.981,
1989-09,22.593,
1989-10,22.749,
1989-11,22.830,
1989-12,22.926,
1990-01,24.471,
1990-02,24.326,
1990-03,24.746,
1990-04,25.502,
1990-05,25.917,
1990-06,26.404,
1990-07,26.945,
1990-08,26.650,
