"",BBK01.OEHB09M,BBK01.OEHB09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:59,
2002-01,12.315,
2002-04,12.471,
2002-07,12.596,
2002-10,12.634,
2003-01,12.844,
2003-04,12.858,
2003-07,12.783,
2003-10,12.723,
2004-01,12.651,
2004-04,12.704,
2004-07,12.643,
2004-10,12.342,
2005-01,12.283,
2005-04,12.302,
2005-07,12.063,
2005-10,11.975,
2006-01,12.129,
2006-04,12.192,
2006-07,12.250,
2006-10,12.231,
2007-01,12.304,
2007-04,12.410,
2007-07,12.700,
2007-10,12.913,
2008-01,13.219,
2008-04,13.391,
2008-07,13.913,
2008-10,13.905,
2009-01,14.263,
2009-04,14.437,
2009-07,14.271,
2009-10,14.129,
2010-01,14.360,
2010-04,14.594,
2010-07,14.737,
2010-10,14.948,
2011-01,15.158,
2011-04,15.292,
2011-07,15.467,
2011-10,15.456,
2012-01,15.732,
2012-04,15.813,
2012-07,16.154,
2012-10,16.153,
2013-01,16.360,
2013-04,16.438,
2013-07,16.688,
2013-10,16.750,
2014-01,16.759,
2014-04,16.963,
2014-07,17.117,
