"",BBK01.OEAO01R,BBK01.OEAO01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:10,
2002-01,6.827,
2002-04,6.735,
2002-07,6.593,
2002-10,6.654,
2003-01,6.819,
2003-04,6.859,
2003-07,6.781,
2003-10,6.805,
2004-01,6.938,
2004-04,6.924,
2004-07,6.874,
2004-10,6.835,
2005-01,7.525,
2005-04,7.554,
2005-07,7.502,
2005-10,7.487,
2006-01,7.594,
2006-04,7.580,
2006-07,7.520,
2006-10,7.500,
2007-01,7.524,
2007-04,7.545,
2007-07,7.478,
2007-10,7.461,
2008-01,7.591,
2008-04,7.589,
2008-07,7.556,
2008-10,7.476,
2009-01,7.721,
2009-04,7.729,
2009-07,7.663,
2009-10,7.719,
2010-01,7.917,
2010-04,7.888,
2010-07,7.834,
2010-10,7.806,
2011-01,7.980,
2011-04,8.030,
2011-07,8.019,
2011-10,7.987,
2012-01,8.063,
2012-04,8.111,
2012-07,8.108,
2012-10,8.118,
2013-01,8.146,
2013-04,8.117,
2013-07,8.025,
2013-10,8.008,
2014-01,8.048,
2014-04,8.035,
2014-07,7.956,
