"",BBK01.OEYO02M,BBK01.OEYO02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:11,
2002-01,0.251,
2002-04,0.199,
2002-07,0.177,
2002-10,0.204,
2003-01,0.211,
2003-04,0.177,
2003-07,0.220,
2003-10,0.183,
2004-01,0.221,
2004-04,0.151,
2004-07,0.135,
2004-10,0.129,
2005-01,0.136,
2005-04,0.117,
2005-07,0.101,
2005-10,0.118,
2006-01,0.131,
2006-04,0.102,
2006-07,0.092,
2006-10,0.116,
2007-01,0.137,
2007-04,0.138,
2007-07,0.100,
2007-10,0.130,
2008-01,0.137,
2008-04,0.151,
2008-07,0.152,
2008-10,0.432,
2009-01,0.126,
2009-04,0.207,
2009-07,0.072,
2009-10,0.142,
2010-01,0.103,
2010-04,0.062,
2010-07,0.072,
2010-10,0.077,
2011-01,0.103,
2011-04,0.079,
2011-07,0.065,
2011-10,0.088,
2012-01,0.067,
2012-04,0.059,
2012-07,0.055,
2012-10,0.066,
2013-01,0.632,
2013-04,0.103,
2013-07,0.079,
2013-10,0.094,
2014-01,0.125,
2014-04,0.115,
2014-07,0.087,
