"",BBFB1.Q.N.DE.O1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:32,
1991-01,61.497,
1991-04,73.477,
1991-07,66.320,
1991-10,59.714,
1992-01,56.434,
1992-04,61.866,
1992-07,59.328,
1992-10,67.282,
1993-01,67.678,
1993-04,71.812,
1993-07,64.980,
1993-10,57.624,
1994-01,44.326,
1994-04,41.818,
1994-07,40.619,
1994-10,46.654,
1995-01,44.182,
1995-04,49.847,
1995-07,36.745,
1995-10,28.927,
1996-01,27.474,
1996-04,18.437,
1996-07,16.729,
1996-10,19.045,
1997-01,17.210,
1997-04,10.896,
1997-07,9.367,
1997-10,8.938,
1998-01,55.767,
1998-04,13.176,
1998-07,20.591,
1998-10,21.652,
1999-01,-1.103,
1999-04,0.312,
1999-07,6.189,
1999-10,-35.178,
2000-01,38.582,
2000-04,40.098,
2000-07,39.224,
2000-10,37.838,
2001-01,38.158,
2001-04,45.373,
2001-07,51.728,
2001-10,60.355,
2002-01,60.943,
2002-04,52.741,
2002-07,43.471,
2002-10,34.403,
2003-01,31.808,
2003-04,35.758,
2003-07,26.889,
2003-10,33.597,
2004-01,37.834,
2004-04,47.619,
2004-07,59.353,
2004-10,74.869,
2005-01,93.453,
2005-04,107.363,
2005-07,119.311,
2005-10,133.292,
2006-01,159.907,
2006-04,176.654,
2006-07,191.886,
2006-10,197.227,
2007-01,217.351,
2007-04,224.077,
2007-07,207.370,
2007-10,190.595,
2008-01,118.057,
2008-04,201.227,
2008-07,201.996,
2008-10,176.208,
2009-01,185.499,
2009-04,313.781,
2009-07,228.505,
2009-10,272.057,
2010-01,377.398,
2010-04,400.739,
2010-07,418.304,
2010-10,418.219,
2011-01,391.663,
2011-04,427.244,
2011-07,435.080,
2011-10,444.502,
2012-01,441.451,
2012-04,454.525,
2012-07,450.947,
2012-10,441.627,
2013-01,450.096,
2013-04,467.025,
2013-07,417.163,
2013-10,421.931,
2014-01,399.837,Provisional value
2014-04,428.496,Provisional value
2014-07,376.191,Provisional value
