"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.PT.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.PT.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Portugal,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:38,
2009-09,6728,
2009-10,6857,
2009-11,6883,
2009-12,6616,
2010-01,6296,
2010-02,6615,
2010-03,6951,
2010-04,5947,
2010-05,5660,
2010-06,5443,
2010-07,5687,
2010-08,5769,
2010-09,5505,
2010-10,5492,
2010-11,4967,
2010-12,4962,
2011-01,4761,
2011-02,4692,
2011-03,4357,
2011-04,3737,
2011-05,3499,
2011-06,3207,
2011-07,2794,
2011-08,2614,
2011-09,2553,
2011-10,2564,
2011-11,2377,
2011-12,2385,
2012-01,2014,
2012-02,2124,
2012-03,1828,
2012-04,1695,
2012-05,1473,
2012-06,1459,
2012-07,1243,
2012-08,1319,
2012-09,1288,
2012-10,1310,
2012-11,1333,
2012-12,1771,
2013-01,2146,
2013-02,2172,
2013-03,2186,
2013-04,2209,
2013-05,2194,
2013-06,2062,
2013-07,1966,
2013-08,1969,
2013-09,1817,
2013-10,1884,
2013-11,2140,
2013-12,2008,
2014-01,2274,
2014-02,2363,
2014-03,2501,
2014-04,2607,
2014-05,2740,
2014-06,2856,
2014-07,2897,
2014-08,2919,
2014-09,3007,
2014-10,3055,
2014-11,2981,
