"",BBK01.TUE363,BBK01.TUE363_FLAGS
"",Lending to general government / Debt securities / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:02,
1997-09,1182918,
1997-10,1179959,
1997-11,1184865,
1997-12,1163792,
1998-01,1184817,
1998-02,1193743,
1998-03,1210238,
1998-04,1216796,
1998-05,1226614,
1998-06,1241293,
1998-07,1228917,
1998-08,1229110,
1998-09,1219072,
1998-10,1228261,
1998-11,1223126,
1998-12,1198244,
1999-01,1195460,
1999-02,1210332,
1999-03,1226054,
1999-04,1221745,
1999-05,1238945,
1999-06,1219001,
1999-07,1207247,
1999-08,1211541,
1999-09,1227483,
1999-10,1239674,
1999-11,1237377,
1999-12,1209884,
2000-01,1221770,
2000-02,1230828,
2000-03,1220783,
2000-04,1198767,
2000-05,1188005,
2000-06,1166900,
2000-07,1140825,
2000-08,1128708,
2000-09,1128499,
2000-10,1115604,
2000-11,1112238,
2000-12,1089504,
2001-01,1149031,
2001-02,1159413,
2001-03,1167409,
2001-04,1173436,
2001-05,1192961,
2001-06,1206467,
2001-07,1201492,
2001-08,1192885,
2001-09,1195183,
2001-10,1186750,
2001-11,1191002,
2001-12,1179206,
2002-01,1206345,
2002-02,1207758,
2002-03,1229070,
2002-04,1229266,
2002-05,1242270,
2002-06,1239314,
2002-07,1238295,
2002-08,1236364,
2002-09,1254511,
2002-10,1248452,
2002-11,1254415,
2002-12,1221020,
2003-01,1274869,
2003-02,1295903,
2003-03,1306011,
2003-04,1324164,
2003-05,1355224,
2003-06,1339250,
2003-07,1347623,
2003-08,1342951,
2003-09,1365997,
2003-10,1378739,
2003-11,1396807,
2003-12,1364157,
2004-01,1391710,
2004-02,1415829,
2004-03,1430502,
2004-04,1440836,
2004-05,1468942,
2004-06,1480630,
2004-07,1477029,
2004-08,1479757,
2004-09,1481102,
2004-10,1480636,
2004-11,1487817,
2004-12,1439933,
2005-01,1483436,
2005-02,1514364,
2005-03,1510422,
2005-04,1525425,
2005-05,1525584,
2005-06,1542198,
2005-07,1537789,
2005-08,1533387,
2005-09,1525758,
2005-10,1565891,
2005-11,1651079,
2005-12,1594413,
2006-01,1616076,
2006-02,1608761,
2006-03,1606788,
2006-04,1603002,
2006-05,1578736,
2006-06,1573560,
2006-07,1558531,
2006-08,1538421,
2006-09,1531427,
2006-10,1522908,
2006-11,1527721,
2006-12,1478997,
2007-01,1508111,
2007-02,1510659,
2007-03,1499213,
2007-04,1478831,
2007-05,1514367,
2007-06,1504782,
2007-07,1484445,
2007-08,1456531,
2007-09,1444170,
2007-10,1452189,
2007-11,1451363,
2007-12,1437265,
2008-01,1469998,
2008-02,1471673,
2008-03,1470250,
2008-04,1478685,
2008-05,1486798,
2008-06,1481721,
2008-07,1491692,
2008-08,1495225,
2008-09,1460139,
2008-10,1458294,
2008-11,1507224,
2008-12,1535938,
2009-01,1606272,
2009-02,1647856,
2009-03,1700900,
2009-04,1726399,
2009-05,1738846,
2009-06,1784951,
2009-07,1795297,
2009-08,1800508,
2009-09,1834521,
2009-10,1849625,
2009-11,1852931,
2009-12,1816319,
2010-01,1829229,
2010-02,1865594,
2010-03,1893716,
2010-04,1905057,
2010-05,1929967,
2010-06,1961618,
2010-07,1966268,
2010-08,1965734,
2010-09,1970942,
2010-10,2079190,
2010-11,2026403,
2010-12,1949664,
2011-01,1974748,
2011-02,1980463,
2011-03,1843628,
2011-04,1850642,
2011-05,1865028,
2011-06,1888711,
2011-07,1865642,
2011-08,1908333,
2011-09,1924065,
2011-10,1909399,
2011-11,1923109,
2011-12,1952823,
2012-01,2020709,
2012-02,2076287,
2012-03,2104129,
2012-04,2097150,
2012-05,2111458,
2012-06,2155623,
2012-07,2142424,
2012-08,2145413,
2012-09,2190275,
2012-10,2200527,
2012-11,2240433,
2012-12,2195428,
2013-01,2223131,
2013-02,2261654,
2013-03,2294771,
2013-04,2309286,
2013-05,2353675,
2013-06,2374261,
2013-07,2339784,
2013-08,2334780,
2013-09,2321424,
2013-10,2340723,
2013-11,2335828,
2013-12,2261835,
2014-01,2319973,
2014-02,2340145,
2014-03,2352649,
2014-04,2358179,
2014-05,2373949,
2014-06,2377914,
2014-07,2364828,
2014-08,2391292,
2014-09,2403160,
2014-10,2420732,
2014-11,2435785,
2014-12,2418797,
2015-01,2478985,
