"",BBK01.OEYB19M,BBK01.OEYB19M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:23,
2002-01,2.505,
2002-04,2.383,
2002-07,2.304,
2002-10,2.245,
2003-01,2.164,
2003-04,2.208,
2003-07,2.286,
2003-10,2.140,
2004-01,2.149,
2004-04,2.264,
2004-07,2.104,
2004-10,1.881,
2005-01,1.832,
2005-04,1.846,
2005-07,2.125,
2005-10,2.159,
2006-01,2.132,
2006-04,2.469,
2006-07,2.419,
2006-10,2.460,
2007-01,2.473,
2007-04,2.472,
2007-07,2.478,
2007-10,2.460,
2008-01,2.434,
2008-04,2.401,
2008-07,2.373,
2008-10,2.332,
2009-01,2.340,
2009-04,2.505,
2009-07,2.728,
2009-10,2.928,
2010-01,3.003,
2010-04,2.763,
2010-07,2.805,
2010-10,2.975,
2011-01,3.089,
2011-04,3.209,
2011-07,3.236,
2011-10,3.245,
2012-01,3.339,
2012-04,3.466,
2012-07,3.557,
2012-10,3.675,
2013-01,3.674,
2013-04,3.709,
2013-07,3.793,
2013-10,3.812,
2014-01,3.863,
2014-04,3.868,
2014-07,3.914,
