"",BBFB1.Q.N.DE.O1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:38,
1991-01,-21.038,
1991-04,-20.116,
1991-07,-19.850,
1991-10,-20.974,
1992-01,-24.577,
1992-04,-24.057,
1992-07,-24.869,
1992-10,-25.828,
1993-01,-24.729,
1993-04,-24.303,
1993-07,-23.901,
1993-10,-23.955,
1994-01,-21.663,
1994-04,-25.342,
1994-07,-26.760,
1994-10,-25.727,
1995-01,-28.665,
1995-04,-27.117,
1995-07,-26.142,
1995-10,-28.038,
1996-01,-29.914,
1996-04,-28.830,
1996-07,-28.898,
1996-10,-28.665,
1997-01,-29.520,
1997-04,-31.516,
1997-07,-34.557,
1997-10,-31.201,
1998-01,-31.566,
1998-04,-24.170,
1998-07,-32.449,
1998-10,-29.214,
1999-01,-25.039,
1999-04,-27.743,
1999-07,-29.888,
1999-10,-38.514,
2000-01,-33.414,
2000-04,-29.234,
2000-07,-105.672,
2000-10,-31.992,
2001-01,-40.538,
2001-04,-27.651,
2001-07,5.820,
2001-10,-97.244,
2002-01,-71.933,
2002-04,-35.242,
2002-07,-31.293,
2002-10,-29.068,
2003-01,-42.145,
2003-04,-25.610,
2003-07,-39.222,
2003-10,-39.677,
2004-01,-34.706,
2004-04,-31.185,
2004-07,-41.895,
2004-10,-34.879,
2005-01,-41.359,
2005-04,-29.313,
2005-07,-36.832,
2005-10,-38.764,
2006-01,-47.883,
2006-04,-36.425,
2006-07,-38.797,
2006-10,-26.915,
2007-01,-22.820,
2007-04,-22.978,
2007-07,-35.997,
2007-10,-33.570,
2008-01,-30.680,
2008-04,-27.130,
2008-07,-36.201,
2008-10,-34.045,
2009-01,-34.851,
2009-04,1.373,
2009-07,-49.522,
2009-10,-51.165,
2010-01,-30.839,
2010-04,-93.357,
2010-07,-55.681,
2010-10,-33.290,
2011-01,-51.015,
2011-04,-29.221,
2011-07,-22.888,
2011-10,-27.841,
2012-01,-28.955,
2012-04,-40.549,
2012-07,-31.845,
2012-10,-39.305,
2013-01,-27.248,
2013-04,-30.851,
2013-07,-37.695,
2013-10,-13.462,
2014-01,-24.118,Provisional value
2014-04,-10.871,Provisional value
2014-07,-14.421,Provisional value
