"",BBK01.OELO01U,BBK01.OELO01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:06,
2002-01,1.874,
2002-04,1.886,
2002-07,1.859,
2002-10,1.875,
2003-01,1.920,
2003-04,1.949,
2003-07,1.936,
2003-10,1.951,
2004-01,1.974,
2004-04,1.965,
2004-07,1.954,
2004-10,2.008,
2005-01,2.050,
2005-04,2.056,
2005-07,2.039,
2005-10,2.032,
2006-01,2.047,
2006-04,2.054,
2006-07,2.033,
2006-10,1.981,
2007-01,1.979,
2007-04,1.945,
2007-07,1.923,
2007-10,1.903,
2008-01,1.891,
2008-04,1.879,
2008-07,1.833,
2008-10,1.779,
2009-01,1.786,
2009-04,1.817,
2009-07,1.828,
2009-10,1.878,
2010-01,1.980,
2010-04,2.013,
2010-07,2.035,
2010-10,2.029,
2011-01,2.033,
2011-04,2.018,
2011-07,1.998,
2011-10,1.985,
2012-01,2.000,
2012-04,2.014,
2012-07,2.042,
2012-10,2.078,
2013-01,2.113,
2013-04,2.168,
2013-07,2.164,
2013-10,2.161,
2014-01,2.151,
2014-04,2.131,
2014-07,2.121,
