"",BBK01.OEBJ01P,BBK01.OEBJ01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:06,
2002-01,0.630,
2002-04,0.573,
2002-07,0.739,
2002-10,0.610,
2003-01,0.731,
2003-04,0.661,
2003-07,0.664,
2003-10,0.925,
2004-01,0.779,
2004-04,0.790,
2004-07,0.654,
2004-10,1.004,
2005-01,0.722,
2005-04,0.755,
2005-07,0.754,
2005-10,0.743,
2006-01,0.646,
2006-04,0.587,
2006-07,0.527,
2006-10,0.637,
2007-01,0.661,
2007-04,0.619,
2007-07,0.743,
2007-10,0.938,
2008-01,0.877,
2008-04,0.825,
2008-07,0.671,
2008-10,0.987,
2009-01,1.086,
2009-04,0.858,
2009-07,1.000,
2009-10,1.169,
2010-01,1.202,
2010-04,1.296,
2010-07,1.335,
2010-10,1.420,
2011-01,1.265,
2011-04,1.360,
2011-07,1.357,
2011-10,1.515,
2012-01,1.347,
2012-04,1.528,
2012-07,1.521,
2012-10,1.720,
2013-01,1.422,
2013-04,1.178,
2013-07,1.145,
2013-10,1.002,
2014-01,1.039,
2014-04,1.086,
2014-07,0.999,
