"",BBK01.CEFI03,BBK01.CEFI03_FLAGS
"",Listed shares               debtor: Total                              creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:36,
1999-01,273.0,
1999-04,260.4,
1999-07,232.1,
1999-10,359.9,
2000-01,381.5,
2000-04,351.3,
2000-07,331.6,
2000-10,293.8,
2001-01,290.0,
2001-04,270.9,
2001-07,232.6,
2001-10,261.9,
2002-01,275.1,
2002-04,245.2,
2002-07,165.3,
2002-10,157.9,
2003-01,144.2,
2003-04,172.4,
2003-07,171.9,
2003-10,157.8,
2004-01,157.1,
2004-04,158.1,
2004-07,148.5,
2004-10,177.1,
2005-01,183.9,
2005-04,190.0,
2005-07,205.9,
2005-10,244.8,
2006-01,141.2,
2006-04,138.8,
2006-07,162.9,
2006-10,186.1,
2007-01,144.9,
2007-04,127.5,
2007-07,129.4,
2007-10,139.1,
2008-01,95.9,
2008-04,75.8,
2008-07,80.7,
2008-10,58.4,
2009-01,60.7,
2009-04,51.4,
2009-07,48.1,
2009-10,56.6,
2010-01,50.6,
2010-04,48.0,
2010-07,43.8,
2010-10,52.4,
2011-01,55.3,
2011-04,56.4,
2011-07,40.3,
2011-10,52.6,
2012-01,59.9,
2012-04,46.9,
2012-07,53.8,
2012-10,65.2,
2013-01,73.4,
2013-04,73.5,
2013-07,82.5,
2013-10,80.6,
2014-01,88.0,
2014-04,92.0,
2014-07,93.8,
